near_dear: Topic: 0, Keyword number: 0
farquaad: Topic: 366, Keyword number: 4
fairy: Topic: 366, Keyword number: 5
princess_fiona: Topic: 366, Keyword number: 6
myers: Topic: 366, Keyword number: 7
fairy_tale: Topic: 366, Keyword number: 8
diaz: Topic: 366, Keyword number: 9
murphy: Topic: 366, Keyword number: 10
animated: Topic: 366, Keyword number: 11
acceptance: Topic: 366, Keyword number: 12
eddie_murphy: Topic: 366, Keyword number: 13
disney's: Topic: 366, Keyword number: 14
green: Topic: 366, Keyword number: 15
lord: Topic: 366, Keyword number: 16
eddie: Topic: 366, Keyword number: 17
fiona's: Topic: 366, Keyword number: 18
shrek's: Topic: 366, Keyword number: 19
fairy_tales: Topic: 366, Keyword number: 20
central_characters: Topic: 366, Keyword number: 21
tales: Topic: 366, Keyword number: 22
friendship: Topic: 366, Keyword number: 23
creature: Topic: 366, Keyword number: 24
home_alone: Topic: 367, Keyword number: 0
snow-shovel: Topic: 367, Keyword number: 1
cartoon_slapstick: Topic: 367, Keyword number: 2
impressions_others: Topic: 367, Keyword number: 3
alone_enjoy: Topic: 367, Keyword number: 4
skipped: Topic: 367, Keyword number: 5
specific_viable: Topic: 367, Keyword number: 6
disagree_mixing: Topic: 367, Keyword number: 7
strongly_disagree: Topic: 367, Keyword number: 8
kid_might: Topic: 367, Keyword number: 9
gonna_get: Topic: 367, Keyword number: 10
coda: Topic: 367, Keyword number: 11
cartoony: Topic: 367, Keyword number: 12
reveal_columbus: Topic: 367, Keyword number: 13
alone_great: Topic: 367, Keyword number: 14
setup_dessert: Topic: 367, Keyword number: 15
act_full: Topic: 367, Keyword number: 16
minutes_kevin: Topic: 367, Keyword number: 17
murderer_actually: Topic: 367, Keyword number: 18
turn_lights: Topic: 367, Keyword number: 19
deal_furnace: Topic: 367, Keyword number: 20
learned_deal: Topic: 367, Keyword number: 21
real_santa: Topic: 367, Keyword number: 22
pass_request: Topic: 367, Keyword number: 23
little_emotional: Topic: 367, Keyword number: 24
american: Topic: 368, Keyword number: 0
complex: Topic: 368, Keyword number: 1
day-lewis: Topic: 368, Keyword number: 2
find_church: Topic: 368, Keyword number: 3
recommend_apostle: Topic: 368, Keyword number: 4
duvall_driven: Topic: 368, Keyword number: 5
beliefs_incidentally: Topic: 368, Keyword number: 6
offers_audience: Topic: 368, Keyword number: 7
chance_fully: Topic: 368, Keyword number: 8
slow-starting: Topic: 368, Keyword number: 9
woodward: Topic: 368, Keyword number: 10
outstanding_joanne: Topic: 368, Keyword number: 11
world_deft: Topic: 368, Keyword number: 12
watching_scorsese: Topic: 368, Keyword number: 13
track_they've: Topic: 368, Keyword number: 14
sweep_pan: Topic: 368, Keyword number: 15
however_beautifully: Topic: 368, Keyword number: 16
piece_gripping: Topic: 368, Keyword number: 17
conclusion_fantastic: Topic: 368, Keyword number: 18
overwhelms_plot: Topic: 368, Keyword number: 19
quiet_presence: Topic: 368, Keyword number: 20
consequences_causes: Topic: 368, Keyword number: 21
forbidden_romance: Topic: 368, Keyword number: 22
status_film's: Topic: 368, Keyword number: 23
affair_mind: Topic: 368, Keyword number: 24
romulus: Topic: 369, Keyword number: 0
delmar: Topic: 369, Keyword number: 1
overall: Topic: 369, Keyword number: 2
angel: Topic: 369, Keyword number: 3
months: Topic: 369, Keyword number: 4
governor: Topic: 369, Keyword number: 5
ilona: Topic: 369, Keyword number: 6
royal: Topic: 369, Keyword number: 7
irony: Topic: 369, Keyword number: 8
surgery: Topic: 369, Keyword number: 9
patient: Topic: 369, Keyword number: 10
maggie: Topic: 369, Keyword number: 11
eventually: Topic: 369, Keyword number: 12
death: Topic: 369, Keyword number: 13
even_though: Topic: 369, Keyword number: 14
lilith: Topic: 369, Keyword number: 15
forgiveness: Topic: 369, Keyword number: 16
guilty: Topic: 369, Keyword number: 17
conclude: Topic: 369, Keyword number: 18
blue: Topic: 369, Keyword number: 19
fine: Topic: 369, Keyword number: 20
confused: Topic: 369, Keyword number: 21
necessary: Topic: 369, Keyword number: 22
matches: Topic: 369, Keyword number: 23
written: Topic: 369, Keyword number: 24
bumps_unfinished: Topic: 370, Keyword number: 0
viewer_soon: Topic: 370, Keyword number: 1
sluggish_main: Topic: 370, Keyword number: 2
two_begin: Topic: 370, Keyword number: 3
shivers: Topic: 370, Keyword number: 4
using_non-linear: Topic: 370, Keyword number: 5
skids: Topic: 370, Keyword number: 6
romp_don't: Topic: 370, Keyword number: 7
spicebus: Topic: 370, Keyword number: 8
bonus_gets: Topic: 370, Keyword number: 9
might: Topic: 371, Keyword number: 0
need: Topic: 371, Keyword number: 1
animated: Topic: 371, Keyword number: 2
next: Topic: 371, Keyword number: 3
david: Topic: 371, Keyword number: 4
never: Topic: 371, Keyword number: 5
right: Topic: 371, Keyword number: 6
unlike_summer: Topic: 371, Keyword number: 7
pop: Topic: 371, Keyword number: 8
running: Topic: 371, Keyword number: 9
coming: Topic: 371, Keyword number: 10
sequels: Topic: 371, Keyword number: 11
bring: Topic: 371, Keyword number: 12
studios: Topic: 371, Keyword number: 13
epps: Topic: 371, Keyword number: 14
significantly: Topic: 371, Keyword number: 15
creations: Topic: 371, Keyword number: 16
numbers: Topic: 371, Keyword number: 17
information: Topic: 371, Keyword number: 18
compare: Topic: 371, Keyword number: 19
near: Topic: 371, Keyword number: 20
necessary: Topic: 371, Keyword number: 21
guess: Topic: 371, Keyword number: 22
used: Topic: 371, Keyword number: 23
bride: Topic: 371, Keyword number: 24
private_idaho: Topic: 372, Keyword number: 0
heaven_folks: Topic: 372, Keyword number: 1
incredibly_shallow: Topic: 372, Keyword number: 2
peter's_friends: Topic: 373, Keyword number: 0
true_friends: Topic: 373, Keyword number: 1
hugh: Topic: 373, Keyword number: 2
stan_resigns: Topic: 373, Keyword number: 3
raymond_one: Topic: 373, Keyword number: 4
sex_bombshell: Topic: 373, Keyword number: 5
gym_coach: Topic: 373, Keyword number: 6
roles_polar: Topic: 373, Keyword number: 7
town_although: Topic: 373, Keyword number: 8
much_picked: Topic: 373, Keyword number: 9
guaspari_could: Topic: 373, Keyword number: 10
every_awhile: Topic: 373, Keyword number: 11
around_february: Topic: 373, Keyword number: 12
endearing_always: Topic: 373, Keyword number: 13
school_initially: Topic: 373, Keyword number: 14
dramatic_truth: Topic: 373, Keyword number: 15
genre_fairly: Topic: 373, Keyword number: 16
applied_one: Topic: 373, Keyword number: 17
show_admiration: Topic: 373, Keyword number: 18
point-of-view_strict: Topic: 373, Keyword number: 19
relatively_difficult: Topic: 373, Keyword number: 20
city_harlem: Topic: 373, Keyword number: 21
seperation_look: Topic: 373, Keyword number: 22
kind_i'll: Topic: 373, Keyword number: 23
made_hugh: Topic: 373, Keyword number: 24
lake: Topic: 374, Keyword number: 0
tilda_swinton: Topic: 374, Keyword number: 1
truly_personal: Topic: 374, Keyword number: 2
artist_re-evaluating: Topic: 374, Keyword number: 3
raising_different: Topic: 374, Keyword number: 4
battling_quite: Topic: 374, Keyword number: 5
exception_patrick: Topic: 374, Keyword number: 6
nonprofessional_actors: Topic: 374, Keyword number: 7
films_bresson: Topic: 374, Keyword number: 8
punctuate_film's: Topic: 374, Keyword number: 9
scored_natural: Topic: 374, Keyword number: 10
music_uses: Topic: 374, Keyword number: 11
illicit_affair: Topic: 374, Keyword number: 12
heart_external: Topic: 374, Keyword number: 13
rather_lancelot: Topic: 374, Keyword number: 14
starts_camelot: Topic: 374, Keyword number: 15
skull_split: Topic: 374, Keyword number: 16
place_lancelot: Topic: 374, Keyword number: 17
knights_round: Topic: 374, Keyword number: 18
advantage_caretaker: Topic: 374, Keyword number: 19
reviews_deep: Topic: 374, Keyword number: 20
many_reviews: Topic: 374, Keyword number: 21
makes_tale: Topic: 374, Keyword number: 22
switching_gender: Topic: 374, Keyword number: 23
meet_water: Topic: 374, Keyword number: 24
hereafter: Topic: 375, Keyword number: 0
sweet_hereafter: Topic: 375, Keyword number: 1
sweet: Topic: 375, Keyword number: 2
egoyan: Topic: 375, Keyword number: 3
stephens: Topic: 375, Keyword number: 4
tragedy: Topic: 375, Keyword number: 5
egoyan's: Topic: 375, Keyword number: 6
lawsuit: Topic: 375, Keyword number: 7
banks: Topic: 375, Keyword number: 8
atom_egoyan's: Topic: 375, Keyword number: 9
sarah_polley: Topic: 375, Keyword number: 10
grief: Topic: 375, Keyword number: 11
emotion: Topic: 375, Keyword number: 12
loss: Topic: 375, Keyword number: 13
small_town: Topic: 375, Keyword number: 14
small: Topic: 375, Keyword number: 15
russell_banks: Topic: 375, Keyword number: 16
novel_russell: Topic: 375, Keyword number: 17
tom_mccamus: Topic: 375, Keyword number: 18
mccamus: Topic: 375, Keyword number: 19
greenwood: Topic: 375, Keyword number: 20
begging_money: Topic: 375, Keyword number: 21
caerthan: Topic: 375, Keyword number: 22
gabrielle_rose: Topic: 375, Keyword number: 23
begging: Topic: 375, Keyword number: 24
film: Topic: 376, Keyword number: 0
movie: Topic: 376, Keyword number: 1
it's: Topic: 376, Keyword number: 2
character: Topic: 376, Keyword number: 3
good: Topic: 376, Keyword number: 4
time: Topic: 376, Keyword number: 5
even: Topic: 376, Keyword number: 6
would: Topic: 376, Keyword number: 7
see: Topic: 376, Keyword number: 8
best: Topic: 376, Keyword number: 9
life: Topic: 376, Keyword number: 10
well: Topic: 376, Keyword number: 11
movies: Topic: 376, Keyword number: 12
new: Topic: 376, Keyword number: 13
many: Topic: 376, Keyword number: 14
great: Topic: 376, Keyword number: 15
two: Topic: 376, Keyword number: 16
get: Topic: 376, Keyword number: 17
much: Topic: 376, Keyword number: 18
first: Topic: 376, Keyword number: 19
scene: Topic: 376, Keyword number: 20
performance: Topic: 376, Keyword number: 21
make: Topic: 376, Keyword number: 22
however: Topic: 376, Keyword number: 23
really: Topic: 376, Keyword number: 24
strawberry: Topic: 377, Keyword number: 0
criticism: Topic: 377, Keyword number: 1
cuba's: Topic: 377, Keyword number: 2
correcting: Topic: 377, Keyword number: 3
revolution's: Topic: 377, Keyword number: 4
current_state: Topic: 377, Keyword number: 5
criticism_revolution: Topic: 377, Keyword number: 6
alea: Topic: 377, Keyword number: 7
gutierrez: Topic: 377, Keyword number: 8
strawberry_chocolate: Topic: 377, Keyword number: 9
revolutionaries: Topic: 377, Keyword number: 10
diego: Topic: 377, Keyword number: 11
spiritual: Topic: 377, Keyword number: 12
cuban: Topic: 377, Keyword number: 13
honest: Topic: 377, Keyword number: 14
young: Topic: 377, Keyword number: 15
also_disconnects: Topic: 377, Keyword number: 16
duke_reacts: Topic: 377, Keyword number: 17
jaunt_dark: Topic: 377, Keyword number: 18
tagged_laughable: Topic: 377, Keyword number: 19
executed_thriller: Topic: 377, Keyword number: 20
cheap_sometimes: Topic: 377, Keyword number: 21
gets_sorta: Topic: 377, Keyword number: 22
inventive_approach: Topic: 377, Keyword number: 23
added_inventive: Topic: 377, Keyword number: 24
barlow: Topic: 378, Keyword number: 0
battles_takes: Topic: 378, Keyword number: 1
waited_shout: Topic: 378, Keyword number: 2
post-torture_revelry: Topic: 378, Keyword number: 3
become_cartoonish-barlow's: Topic: 378, Keyword number: 4
absurd_moments: Topic: 378, Keyword number: 5
russell's_previous: Topic: 378, Keyword number: 6
camera_observe-as: Topic: 378, Keyword number: 7
added_it's: Topic: 378, Keyword number: 8
attention_debris: Topic: 378, Keyword number: 9
mutes_sound-we're: Topic: 378, Keyword number: 10
atop_baby: Topic: 378, Keyword number: 11
wartime_barlow: Topic: 378, Keyword number: 12
action_ever: Topic: 378, Keyword number: 13
seeing_action: Topic: 378, Keyword number: 14
kidnapped_filmmakers: Topic: 378, Keyword number: 15
bystander_shot: Topic: 378, Keyword number: 16
conscience_one: Topic: 378, Keyword number: 17
accepts_assistance: Topic: 378, Keyword number: 18
unarmed_rebels: Topic: 378, Keyword number: 19
adriana_cruz: Topic: 378, Keyword number: 20
filled_gold: Topic: 378, Keyword number: 21
discover_round: Topic: 378, Keyword number: 22
okay_four: Topic: 378, Keyword number: 23
ornament_one: Topic: 378, Keyword number: 24
obscurity_blue: Topic: 379, Keyword number: 0
story_thankfully: Topic: 379, Keyword number: 1
looting_spree: Topic: 379, Keyword number: 2
kinds_media: Topic: 379, Keyword number: 3
million_venture: Topic: 379, Keyword number: 4
bad_guy: Topic: 379, Keyword number: 5
capital: Topic: 379, Keyword number: 6
lonely_father: Topic: 380, Keyword number: 0
awards_controversy: Topic: 380, Keyword number: 1
horror--less: Topic: 380, Keyword number: 2
debate_also: Topic: 380, Keyword number: 3
weapons: Topic: 380, Keyword number: 4
demeanor_perhaps: Topic: 380, Keyword number: 5
rules_include: Topic: 380, Keyword number: 6
heil_huh: Topic: 380, Keyword number: 7
cold_dead: Topic: 381, Keyword number: 0
whale: Topic: 382, Keyword number: 0
monsters: Topic: 382, Keyword number: 1
gods_monsters: Topic: 382, Keyword number: 2
whale's: Topic: 382, Keyword number: 3
corleone: Topic: 382, Keyword number: 4
gods: Topic: 382, Keyword number: 5
james_whale: Topic: 382, Keyword number: 6
clayton: Topic: 382, Keyword number: 7
ian: Topic: 382, Keyword number: 8
whale_boone: Topic: 382, Keyword number: 9
copolla's: Topic: 382, Keyword number: 10
maid: Topic: 382, Keyword number: 11
brendan: Topic: 382, Keyword number: 12
fraser: Topic: 382, Keyword number: 13
edition: Topic: 382, Keyword number: 14
vito: Topic: 382, Keyword number: 15
talk: Topic: 382, Keyword number: 16
locker: Topic: 382, Keyword number: 17
room_talk: Topic: 382, Keyword number: 18
mckellen: Topic: 382, Keyword number: 19
cuckor: Topic: 382, Keyword number: 20
since_whale: Topic: 382, Keyword number: 21
relationship_whale: Topic: 382, Keyword number: 22
boone_brendan: Topic: 382, Keyword number: 23
bride_frankenstein: Topic: 382, Keyword number: 24
martial_law: Topic: 383, Keyword number: 0
jewel_thief: Topic: 383, Keyword number: 1
looses: Topic: 383, Keyword number: 2
alex_another: Topic: 383, Keyword number: 3
alex_predicted: Topic: 383, Keyword number: 4
dragging_several: Topic: 383, Keyword number: 5
flaws_glaring: Topic: 383, Keyword number: 6
goes_window: Topic: 383, Keyword number: 7
seven_films: Topic: 383, Keyword number: 8
broken_certain: Topic: 383, Keyword number: 9
makes_whatever: Topic: 383, Keyword number: 10
within_letter: Topic: 383, Keyword number: 11
goal_would: Topic: 383, Keyword number: 12
fbi_assistant: Topic: 383, Keyword number: 13
kidnapping_sheik: Topic: 383, Keyword number: 14
opening_bit: Topic: 383, Keyword number: 15
anytime_gives: Topic: 383, Keyword number: 16
categorization_terrorist: Topic: 383, Keyword number: 17
suspending: Topic: 383, Keyword number: 18
often_forgotten: Topic: 383, Keyword number: 19
witty_action-packed: Topic: 383, Keyword number: 20
old_cliches: Topic: 383, Keyword number: 21
wincott's_perfectly: Topic: 383, Keyword number: 22
sarge: Topic: 383, Keyword number: 23
every_cop/new: Topic: 383, Keyword number: 24
lama: Topic: 384, Keyword number: 0
dalai: Topic: 384, Keyword number: 1
set_design: Topic: 384, Keyword number: 2
card: Topic: 384, Keyword number: 3
terrifying: Topic: 384, Keyword number: 4
supports_carrie-anne: Topic: 384, Keyword number: 5
manifested_antagonists: Topic: 384, Keyword number: 6
bright_airy: Topic: 384, Keyword number: 7
story_stylish: Topic: 384, Keyword number: 8
prophesied_individual: Topic: 384, Keyword number: 9
mankind_billions: Topic: 384, Keyword number: 10
placating_mankind: Topic: 384, Keyword number: 11
irrelevent_viewers: Topic: 384, Keyword number: 12
characteristically: Topic: 384, Keyword number: 13
quite_shallow: Topic: 384, Keyword number: 14
range_gimmick: Topic: 384, Keyword number: 15
story_unlike: Topic: 384, Keyword number: 16
multimillion-dollar: Topic: 384, Keyword number: 17
fashion_contemporary: Topic: 384, Keyword number: 18
winfrey_written: Topic: 384, Keyword number: 19
noted_everyone: Topic: 384, Keyword number: 20
past_she's: Topic: 384, Keyword number: 21
respectable_interesting: Topic: 384, Keyword number: 22
thing_course: Topic: 384, Keyword number: 23
blacks_farm: Topic: 384, Keyword number: 24
worth_caring: Topic: 385, Keyword number: 0
joins_military: Topic: 385, Keyword number: 1
example_offer: Topic: 385, Keyword number: 2
liberties_soldiers: Topic: 385, Keyword number: 3
best_watched: Topic: 385, Keyword number: 4
devlin: Topic: 385, Keyword number: 5
acceptable_matter: Topic: 385, Keyword number: 6
holes_movie: Topic: 385, Keyword number: 7
screen-viewer_interaction: Topic: 385, Keyword number: 8
ends_plain: Topic: 385, Keyword number: 9
troops_battle: Topic: 385, Keyword number: 10
earth_president: Topic: 385, Keyword number: 11
mother_ship: Topic: 385, Keyword number: 12
produced_era: Topic: 385, Keyword number: 13
release_nearly: Topic: 385, Keyword number: 14
opened_july: Topic: 385, Keyword number: 15
scalpel_believe: Topic: 385, Keyword number: 16
boyfriend_palestinian: Topic: 385, Keyword number: 17
careful_step: Topic: 385, Keyword number: 18
palestinian_community: Topic: 385, Keyword number: 19
sending: Topic: 385, Keyword number: 20
punishing: Topic: 385, Keyword number: 21
believable_performance: Topic: 385, Keyword number: 22
cities: Topic: 385, Keyword number: 23
returns_redefined: Topic: 385, Keyword number: 24
claire's: Topic: 386, Keyword number: 0
patrick: Topic: 386, Keyword number: 1
cusack: Topic: 386, Keyword number: 2
john_cusack: Topic: 386, Keyword number: 3
say_grace: Topic: 386, Keyword number: 4
action_takes: Topic: 386, Keyword number: 5
portal: Topic: 386, Keyword number: 6
cusack_finally: Topic: 386, Keyword number: 7
elisabeth: Topic: 386, Keyword number: 8
passage: Topic: 386, Keyword number: 9
fill: Topic: 386, Keyword number: 10
farce: Topic: 386, Keyword number: 11
romantic: Topic: 386, Keyword number: 12
easy: Topic: 386, Keyword number: 13
relationship: Topic: 386, Keyword number: 14
lampoon: Topic: 386, Keyword number: 15
tug-of-war_often: Topic: 386, Keyword number: 16
romantic_fool: Topic: 386, Keyword number: 17
watch_greg: Topic: 386, Keyword number: 18
beau_screwed: Topic: 386, Keyword number: 19
trouble_several: Topic: 386, Keyword number: 20
mistakes_buys: Topic: 386, Keyword number: 21
ordeal_missteps: Topic: 386, Keyword number: 22
it's_never-ending: Topic: 386, Keyword number: 23
deniro_aura: Topic: 386, Keyword number: 24
lillian: Topic: 387, Keyword number: 0
film-making: Topic: 387, Keyword number: 1
bad_science: Topic: 387, Keyword number: 2
stock_market: Topic: 387, Keyword number: 3
partly: Topic: 387, Keyword number: 4
jillian: Topic: 387, Keyword number: 5
farming: Topic: 387, Keyword number: 6
david's: Topic: 387, Keyword number: 7
cow: Topic: 387, Keyword number: 8
feels: Topic: 387, Keyword number: 9
richard_dreyfuss: Topic: 387, Keyword number: 10
mozart's_original: Topic: 387, Keyword number: 11
adapted_mozart's: Topic: 387, Keyword number: 12
well_stunning: Topic: 387, Keyword number: 13
works_costumes: Topic: 387, Keyword number: 14
strong_weak: Topic: 387, Keyword number: 15
enables_focus: Topic: 387, Keyword number: 16
composer_struggles: Topic: 387, Keyword number: 17
time_fascinated: Topic: 387, Keyword number: 18
envy_jealousy: Topic: 387, Keyword number: 19
emotions_going: Topic: 387, Keyword number: 20
salieri: Topic: 387, Keyword number: 21
court_composer: Topic: 387, Keyword number: 22
known_class: Topic: 387, Keyword number: 23
discouraged: Topic: 387, Keyword number: 24
terms: Topic: 388, Keyword number: 0
old: Topic: 388, Keyword number: 1
find: Topic: 388, Keyword number: 2
caraboo: Topic: 388, Keyword number: 3
star: Topic: 388, Keyword number: 4
quest: Topic: 388, Keyword number: 5
mostly: Topic: 388, Keyword number: 6
character: Topic: 388, Keyword number: 7
waking: Topic: 388, Keyword number: 8
michael: Topic: 388, Keyword number: 9
face: Topic: 388, Keyword number: 10
jackie: Topic: 388, Keyword number: 11
ship: Topic: 388, Keyword number: 12
seems: Topic: 388, Keyword number: 13
might: Topic: 388, Keyword number: 14
fortune: Topic: 388, Keyword number: 15
day: Topic: 388, Keyword number: 16
team: Topic: 388, Keyword number: 17
best: Topic: 388, Keyword number: 18
plays: Topic: 388, Keyword number: 19
nothing: Topic: 388, Keyword number: 20
filled: Topic: 388, Keyword number: 21
makes: Topic: 388, Keyword number: 22
john_milton: Topic: 388, Keyword number: 23
lottery: Topic: 388, Keyword number: 24
end: Topic: 389, Keyword number: 0
mission: Topic: 389, Keyword number: 1
finds: Topic: 389, Keyword number: 2
dillon: Topic: 389, Keyword number: 3
hood: Topic: 389, Keyword number: 4
ending: Topic: 389, Keyword number: 5
getting: Topic: 389, Keyword number: 6
ambrose: Topic: 389, Keyword number: 7
mission_impossible: Topic: 389, Keyword number: 8
sir: Topic: 389, Keyword number: 9
eventually: Topic: 389, Keyword number: 10
deal: Topic: 389, Keyword number: 11
looks: Topic: 389, Keyword number: 12
virus: Topic: 389, Keyword number: 13
thief: Topic: 389, Keyword number: 14
coyle: Topic: 389, Keyword number: 15
bank: Topic: 389, Keyword number: 16
ben_stiller: Topic: 389, Keyword number: 17
things: Topic: 389, Keyword number: 18
away: Topic: 389, Keyword number: 19
decision: Topic: 389, Keyword number: 20
one_better: Topic: 389, Keyword number: 21
mitchum: Topic: 389, Keyword number: 22
underworld: Topic: 389, Keyword number: 23
sentence: Topic: 389, Keyword number: 24
robocop_however: Topic: 390, Keyword number: 0
better_find: Topic: 390, Keyword number: 1
city's: Topic: 390, Keyword number: 2
summer_movies: Topic: 391, Keyword number: 0
godzilla: Topic: 391, Keyword number: 1
looks: Topic: 391, Keyword number: 2
critter: Topic: 391, Keyword number: 3
scary: Topic: 391, Keyword number: 4
five_stars: Topic: 391, Keyword number: 5
fully_enjoy: Topic: 391, Keyword number: 6
weapons: Topic: 391, Keyword number: 7
movie: Topic: 391, Keyword number: 8
trying_figure: Topic: 391, Keyword number: 9
cannot: Topic: 391, Keyword number: 10
laurence_fishburne: Topic: 391, Keyword number: 11
fishburne: Topic: 391, Keyword number: 12
watched: Topic: 391, Keyword number: 13
maybe: Topic: 391, Keyword number: 14
last_half: Topic: 391, Keyword number: 15
good_performances: Topic: 391, Keyword number: 16
human: Topic: 391, Keyword number: 17
star: Topic: 391, Keyword number: 18
still_cameras: Topic: 391, Keyword number: 19
effects_many: Topic: 391, Keyword number: 20
mulder_driving: Topic: 391, Keyword number: 21
drove: Topic: 391, Keyword number: 22
tracks_leaves: Topic: 391, Keyword number: 23
may_wonder: Topic: 391, Keyword number: 24
cindy_crawford: Topic: 392, Keyword number: 0
cindy: Topic: 392, Keyword number: 1
black-and-white: Topic: 392, Keyword number: 2
bit_role: Topic: 392, Keyword number: 3
time_sides: Topic: 392, Keyword number: 4
romance_film's: Topic: 392, Keyword number: 5
rest_doesn't: Topic: 392, Keyword number: 6
white_keitel: Topic: 392, Keyword number: 7
real_names: Topic: 392, Keyword number: 8
reveal_real: Topic: 392, Keyword number: 9
assembled_five: Topic: 392, Keyword number: 10
dialogue_liberally: Topic: 392, Keyword number: 11
common_scenes: Topic: 392, Keyword number: 12
national_security: Topic: 392, Keyword number: 13
nice_dramatic: Topic: 392, Keyword number: 14
psychologist_sean: Topic: 392, Keyword number: 15
sant_written: Topic: 392, Keyword number: 16
terminally_ill: Topic: 392, Keyword number: 17
math_professor: Topic: 392, Keyword number: 18
declares_everything: Topic: 392, Keyword number: 19
else_viewed: Topic: 392, Keyword number: 20
keeve_enough: Topic: 392, Keyword number: 21
expose: Topic: 392, Keyword number: 22
audience's_perspective: Topic: 392, Keyword number: 23
beyond_simple: Topic: 392, Keyword number: 24
lovitz: Topic: 393, Keyword number: 0
sandy: Topic: 393, Keyword number: 1
silver_city: Topic: 393, Keyword number: 2
danny_zuko: Topic: 393, Keyword number: 3
helfgott: Topic: 393, Keyword number: 4
cody: Topic: 393, Keyword number: 5
duane: Topic: 393, Keyword number: 6
jon_lovitz: Topic: 393, Keyword number: 7
vera: Topic: 393, Keyword number: 8
still_word: Topic: 393, Keyword number: 9
great_music: Topic: 393, Keyword number: 10
babbling: Topic: 393, Keyword number: 11
teenage-david: Topic: 393, Keyword number: 12
widescreen: Topic: 393, Keyword number: 13
david: Topic: 393, Keyword number: 14
dave_thomas: Topic: 393, Keyword number: 15
jerry_zucker: Topic: 393, Keyword number: 16
breckin_meyer: Topic: 393, Keyword number: 17
pear_jon: Topic: 393, Keyword number: 18
rowan_atkinson: Topic: 393, Keyword number: 19
lanai: Topic: 393, Keyword number: 20
whoopi_goldberg: Topic: 393, Keyword number: 21
donald_sinclair: Topic: 393, Keyword number: 22
people: Topic: 393, Keyword number: 23
told_linear: Topic: 393, Keyword number: 24
kozmo: Topic: 394, Keyword number: 0
april: Topic: 394, Keyword number: 1
images: Topic: 394, Keyword number: 2
family_old: Topic: 394, Keyword number: 3
fine_whole: Topic: 394, Keyword number: 4
carve_new: Topic: 394, Keyword number: 5
moses's_people: Topic: 394, Keyword number: 6
bud_chariot: Topic: 394, Keyword number: 7
floating_little: Topic: 394, Keyword number: 8
egpyt: Topic: 394, Keyword number: 9
exclude_children: Topic: 394, Keyword number: 10
took_wasn't: Topic: 394, Keyword number: 11
candidate_would: Topic: 394, Keyword number: 12
axe_screened: Topic: 394, Keyword number: 13
got_axe: Topic: 394, Keyword number: 14
even_dreamers: Topic: 394, Keyword number: 15
game_profit: Topic: 394, Keyword number: 16
phone_calls: Topic: 394, Keyword number: 17
backers: Topic: 394, Keyword number: 18
happens_money: Topic: 394, Keyword number: 19
titanic-type_businesses: Topic: 394, Keyword number: 20
commanding_titanic-type: Topic: 394, Keyword number: 21
numerous_ceos: Topic: 394, Keyword number: 22
demise_satisfying: Topic: 394, Keyword number: 23
ultimate_demise: Topic: 394, Keyword number: 24
radio: Topic: 395, Keyword number: 0
tom: Topic: 395, Keyword number: 1
contact: Topic: 395, Keyword number: 2
god: Topic: 395, Keyword number: 3
hanks: Topic: 395, Keyword number: 4
bread_tulips: Topic: 395, Keyword number: 5
bread: Topic: 395, Keyword number: 6
visual: Topic: 395, Keyword number: 7
maglietta: Topic: 395, Keyword number: 8
foster's: Topic: 395, Keyword number: 9
jan: Topic: 395, Keyword number: 10
france: Topic: 395, Keyword number: 11
foster: Topic: 395, Keyword number: 12
mean: Topic: 395, Keyword number: 13
ways: Topic: 395, Keyword number: 14
ganz: Topic: 395, Keyword number: 15
housewife: Topic: 395, Keyword number: 16
sane: Topic: 395, Keyword number: 17
gorgeous: Topic: 395, Keyword number: 18
discovery: Topic: 395, Keyword number: 19
raging: Topic: 395, Keyword number: 20
joins: Topic: 395, Keyword number: 21
meeting: Topic: 395, Keyword number: 22
rest: Topic: 395, Keyword number: 23
made: Topic: 395, Keyword number: 24
derek: Topic: 396, Keyword number: 0
family: Topic: 396, Keyword number: 1
black: Topic: 396, Keyword number: 2
american: Topic: 396, Keyword number: 3
white: Topic: 396, Keyword number: 4
everyone: Topic: 396, Keyword number: 5
brother: Topic: 396, Keyword number: 6
skinhead: Topic: 396, Keyword number: 7
even: Topic: 396, Keyword number: 8
derek's: Topic: 396, Keyword number: 9
norton: Topic: 396, Keyword number: 10
plays: Topic: 396, Keyword number: 11
important: Topic: 396, Keyword number: 12
seems: Topic: 396, Keyword number: 13
never: Topic: 396, Keyword number: 14
father: Topic: 396, Keyword number: 15
lewis: Topic: 396, Keyword number: 16
driving: Topic: 396, Keyword number: 17
takes: Topic: 396, Keyword number: 18
two: Topic: 396, Keyword number: 19
wants: Topic: 396, Keyword number: 20
american_history: Topic: 396, Keyword number: 21
appreciate: Topic: 396, Keyword number: 22
made: Topic: 396, Keyword number: 23
look: Topic: 396, Keyword number: 24
tomei: Topic: 397, Keyword number: 0
anderson: Topic: 397, Keyword number: 1
nod_general: Topic: 397, Keyword number: 2
throw_nod: Topic: 397, Keyword number: 3
slow_repetitive: Topic: 397, Keyword number: 4
shall_also: Topic: 397, Keyword number: 5
predictable_next: Topic: 397, Keyword number: 6
loathsome_predictable: Topic: 397, Keyword number: 7
pretend_loathsome: Topic: 397, Keyword number: 8
