turns_finale: Topic: 1, Keyword number: 0
detectives: Topic: 3923, Keyword number: 2
terrific: Topic: 3923, Keyword number: 3
along: Topic: 3923, Keyword number: 4
better: Topic: 3923, Keyword number: 5
boxer: Topic: 3923, Keyword number: 6
flowing: Topic: 3923, Keyword number: 7
russo: Topic: 3923, Keyword number: 8
dubbed: Topic: 3923, Keyword number: 9
rather: Topic: 3923, Keyword number: 10
soon: Topic: 3923, Keyword number: 11
one: Topic: 3923, Keyword number: 12
seems: Topic: 3923, Keyword number: 13
nothing: Topic: 3923, Keyword number: 14
big_man: Topic: 3923, Keyword number: 15
coolidge: Topic: 3923, Keyword number: 16
things_take: Topic: 3923, Keyword number: 17
streets_fire: Topic: 3923, Keyword number: 18
hubert: Topic: 3923, Keyword number: 19
explosions: Topic: 3923, Keyword number: 20
glover: Topic: 3923, Keyword number: 21
make_sure: Topic: 3923, Keyword number: 22
stories: Topic: 3923, Keyword number: 23
rene_russo: Topic: 3923, Keyword number: 24
professor_james: Topic: 3924, Keyword number: 0
succeeded_survive: Topic: 3924, Keyword number: 1
impossible_feel: Topic: 3924, Keyword number: 2
well_five: Topic: 3924, Keyword number: 3
belief_film: Topic: 3924, Keyword number: 4
role_wild: Topic: 3924, Keyword number: 5
appears_screen: Topic: 3924, Keyword number: 6
worthy_roles: Topic: 3924, Keyword number: 7
less_extreme: Topic: 3924, Keyword number: 8
new_comers: Topic: 3924, Keyword number: 9
execute_performances: Topic: 3924, Keyword number: 10
hard_working: Topic: 3924, Keyword number: 11
evil_sides: Topic: 3924, Keyword number: 12
audience_sees: Topic: 3924, Keyword number: 13
masterfully: Topic: 3924, Keyword number: 14
film_turns: Topic: 3924, Keyword number: 15
running_time: Topic: 3924, Keyword number: 16
title_film: Topic: 3924, Keyword number: 17
flynt: Topic: 3925, Keyword number: 0
althea: Topic: 3925, Keyword number: 1
isaacman: Topic: 3925, Keyword number: 2
larry_flynt's: Topic: 3925, Keyword number: 3
courtney: Topic: 3925, Keyword number: 4
childish: Topic: 3925, Keyword number: 5
freedom: Topic: 3925, Keyword number: 6
cameo_judge: Topic: 3925, Keyword number: 7
story_keep: Topic: 3925, Keyword number: 8
look_flynt: Topic: 3925, Keyword number: 9
buy_excellent: Topic: 3925, Keyword number: 10
see_buy: Topic: 3925, Keyword number: 11
freedom_speech: Topic: 3925, Keyword number: 12
much_fight: Topic: 3925, Keyword number: 13
also_times: Topic: 3925, Keyword number: 14
milos: Topic: 3925, Keyword number: 15
clever_ways: Topic: 3925, Keyword number: 16
isaacman_easy: Topic: 3925, Keyword number: 17
even_mental: Topic: 3925, Keyword number: 18
trouble_even: Topic: 3925, Keyword number: 19
courtroom_antics: Topic: 3925, Keyword number: 20
somehow_puts: Topic: 3925, Keyword number: 21
isaacman_somehow: Topic: 3925, Keyword number: 22
finds_easy: Topic: 3925, Keyword number: 23
lawyer_alan: Topic: 3925, Keyword number: 24
contribute_quality: Topic: 3926, Keyword number: 0
choreographer: Topic: 3926, Keyword number: 1
enlightenment: Topic: 3926, Keyword number: 2
great_piece: Topic: 3926, Keyword number: 3
accepted: Topic: 3926, Keyword number: 4
yuen: Topic: 3926, Keyword number: 5
photography_represent: Topic: 3927, Keyword number: 0
finale_movie: Topic: 3927, Keyword number: 1
actual_plot: Topic: 3927, Keyword number: 2
sexual_references: Topic: 3928, Keyword number: 0
bogs: Topic: 3928, Keyword number: 1
fool_customs: Topic: 3928, Keyword number: 2
passports: Topic: 3928, Keyword number: 3
screamed_crowd: Topic: 3928, Keyword number: 4
decided_auction: Topic: 3928, Keyword number: 5
talks_happenings: Topic: 3928, Keyword number: 6
lark_would: Topic: 3928, Keyword number: 7
serves_host: Topic: 3928, Keyword number: 8
certain_awe: Topic: 3928, Keyword number: 9
brings_viewers: Topic: 3928, Keyword number: 10
nygard's: Topic: 3928, Keyword number: 11
hamlet: Topic: 3928, Keyword number: 12
screamed: Topic: 3928, Keyword number: 13
ages: Topic: 3928, Keyword number: 14
film: Topic: 3930, Keyword number: 0
guns: Topic: 3930, Keyword number: 1
zero: Topic: 3930, Keyword number: 2
men: Topic: 3930, Keyword number: 3
one: Topic: 3930, Keyword number: 4
things: Topic: 3930, Keyword number: 5
john: Topic: 3930, Keyword number: 6
fuentes: Topic: 3930, Keyword number: 7
kings: Topic: 3930, Keyword number: 8
sam: Topic: 3930, Keyword number: 9
laughter: Topic: 3930, Keyword number: 10
private: Topic: 3930, Keyword number: 11
lost: Topic: 3930, Keyword number: 12
war: Topic: 3930, Keyword number: 13
want: Topic: 3930, Keyword number: 14
almost: Topic: 3930, Keyword number: 15
everything: Topic: 3930, Keyword number: 16
without: Topic: 3930, Keyword number: 17
face: Topic: 3930, Keyword number: 18
tom: Topic: 3930, Keyword number: 19
takes: Topic: 3930, Keyword number: 20
many: Topic: 3930, Keyword number: 21
thing: Topic: 3930, Keyword number: 22
brad: Topic: 3930, Keyword number: 23
hair: Topic: 3930, Keyword number: 24
herzog: Topic: 3938, Keyword number: 0
story: Topic: 3938, Keyword number: 1
popul_vuh: Topic: 3938, Keyword number: 2
anchor_bay: Topic: 3938, Keyword number: 3
castle: Topic: 3938, Keyword number: 4
anchor: Topic: 3938, Keyword number: 5
german: Topic: 3938, Keyword number: 6
last: Topic: 3938, Keyword number: 7
stars_sight: Topic: 3938, Keyword number: 8
name_kicking: Topic: 3938, Keyword number: 9
add_couple: Topic: 3938, Keyword number: 10
withdrawal: Topic: 3938, Keyword number: 11
doubt_unmistakable: Topic: 3938, Keyword number: 12
made_without: Topic: 3938, Keyword number: 13
simply_greatest: Topic: 3938, Keyword number: 14
unscary: Topic: 3938, Keyword number: 15
album_still: Topic: 3938, Keyword number: 16
without_pictures: Topic: 3938, Keyword number: 17
tantric_songs: Topic: 3938, Keyword number: 18
bought_number: Topic: 3938, Keyword number: 19
instruments_first: Topic: 3938, Keyword number: 20
collaborators_play: Topic: 3938, Keyword number: 21
herzog_collaborators: Topic: 3938, Keyword number: 22
vuh_longtime: Topic: 3938, Keyword number: 23
quite_impossible: Topic: 3938, Keyword number: 24
good_given: Topic: 3939, Keyword number: 0
meets_world: Topic: 3939, Keyword number: 1
travelled: Topic: 3939, Keyword number: 2
skinhead_whose: Topic: 3939, Keyword number: 3
unambitious_even: Topic: 3939, Keyword number: 4
perhaps_hopes: Topic: 3939, Keyword number: 5
sadly_enough: Topic: 3939, Keyword number: 6
little_emotions: Topic: 3939, Keyword number: 7
lines_authority: Topic: 3939, Keyword number: 8
though_coming: Topic: 3939, Keyword number: 9
horrible_line: Topic: 3939, Keyword number: 10
rage_least: Topic: 3939, Keyword number: 11
immigrants_work: Topic: 3939, Keyword number: 12
space_trying: Topic: 3939, Keyword number: 13
tries_correct: Topic: 3939, Keyword number: 14
handgun_hand: Topic: 3939, Keyword number: 15
boxers_carrying: Topic: 3939, Keyword number: 16
he's_attacking: Topic: 3939, Keyword number: 17
fire_intensity: Topic: 3939, Keyword number: 18
public_speaker: Topic: 3939, Keyword number: 19
anyone_who's: Topic: 3939, Keyword number: 20
intelligence_make: Topic: 3939, Keyword number: 21
sexual_powers: Topic: 3939, Keyword number: 22
resident: Topic: 3939, Keyword number: 23
reliable: Topic: 3939, Keyword number: 24
man_used: Topic: 3947, Keyword number: 0
slaughter_actor: Topic: 3947, Keyword number: 1
real_group: Topic: 3947, Keyword number: 2
works: Topic: 3947, Keyword number: 3
though_may: Topic: 3950, Keyword number: 0
michael: Topic: 3954, Keyword number: 0
walken: Topic: 3954, Keyword number: 1
lack_capable: Topic: 3954, Keyword number: 2
isn't_breathtaking: Topic: 3954, Keyword number: 3
leading_role: Topic: 3954, Keyword number: 4
yet_rarely: Topic: 3954, Keyword number: 5
mercenary_profession: Topic: 3954, Keyword number: 6
filled_void: Topic: 3954, Keyword number: 7
thing_separates: Topic: 3954, Keyword number: 8
milieu: Topic: 3954, Keyword number: 9
people_probably: Topic: 3954, Keyword number: 10
line_referred: Topic: 3954, Keyword number: 11
unsatisfied: Topic: 3954, Keyword number: 12
performances_possible: Topic: 3954, Keyword number: 13
movie_deer: Topic: 3954, Keyword number: 14
home_emotional: Topic: 3954, Keyword number: 15
walken's: Topic: 3954, Keyword number: 16
lost_vietnam: Topic: 3954, Keyword number: 17
army_hospital: Topic: 3954, Keyword number: 18
care_nick: Topic: 3954, Keyword number: 19
must_play: Topic: 3954, Keyword number: 20
river_prison: Topic: 3954, Keyword number: 21
lines_vietnam: Topic: 3954, Keyword number: 22
trio_men: Topic: 3954, Keyword number: 23
savage_cazale: Topic: 3954, Keyword number: 24
questions_fate: Topic: 3956, Keyword number: 0
banker: Topic: 3956, Keyword number: 1
years_truman: Topic: 3956, Keyword number: 2
desire: Topic: 3956, Keyword number: 3
neil: Topic: 3958, Keyword number: 0
jordan's_direction: Topic: 3958, Keyword number: 1
like_entertaining: Topic: 3958, Keyword number: 2
make_dress: Topic: 3958, Keyword number: 3
self-pity_bit: Topic: 3958, Keyword number: 4
ironically_film's: Topic: 3958, Keyword number: 5
emotional_believable: Topic: 3958, Keyword number: 6
teaching_luis: Topic: 3958, Keyword number: 7
paris_euro-vamps: Topic: 3958, Keyword number: 8
lestat_travel: Topic: 3958, Keyword number: 9
impunity_lestat: Topic: 3958, Keyword number: 10
impunity: Topic: 3958, Keyword number: 11
peace_louis: Topic: 3958, Keyword number: 12
new_orleans: Topic: 3958, Keyword number: 13
slater_tale: Topic: 3958, Keyword number: 14
camera_slowly: Topic: 3958, Keyword number: 15
based_anne: Topic: 3958, Keyword number: 16
neil_jordan: Topic: 3958, Keyword number: 17
girl_named: Topic: 3958, Keyword number: 18
switch: Topic: 3958, Keyword number: 19
wrapped: Topic: 3958, Keyword number: 20
tom: Topic: 3958, Keyword number: 21
heavy_spoiler: Topic: 3959, Keyword number: 0
paul_thomas: Topic: 3959, Keyword number: 1
though_feels: Topic: 3959, Keyword number: 2
rain_sign: Topic: 3959, Keyword number: 3
essentially_vacuumed: Topic: 3959, Keyword number: 4
water_animals: Topic: 3959, Keyword number: 5
kept_aloft: Topic: 3959, Keyword number: 6
leave_something: Topic: 3959, Keyword number: 7
following_well-rounded: Topic: 3959, Keyword number: 8
used_studies: Topic: 3959, Keyword number: 9
nights_better: Topic: 3959, Keyword number: 10
making_world: Topic: 3959, Keyword number: 11
relationships_strands: Topic: 3959, Keyword number: 12
linked_creates: Topic: 3959, Keyword number: 13
end_stories: Topic: 3959, Keyword number: 14
major_characters: Topic: 3959, Keyword number: 15
character_starts: Topic: 3959, Keyword number: 16
intended_tense: Topic: 3959, Keyword number: 17
story_builds: Topic: 3959, Keyword number: 18
griffith: Topic: 3959, Keyword number: 19
hail: Topic: 3959, Keyword number: 20
unexpected: Topic: 3959, Keyword number: 21
somehow: Topic: 3959, Keyword number: 22
drill: Topic: 3961, Keyword number: 0
orders_extremely: Topic: 3961, Keyword number: 1
film_vietnam: Topic: 3961, Keyword number: 2
effected: Topic: 3961, Keyword number: 3
debate: Topic: 3961, Keyword number: 4
leonard: Topic: 3961, Keyword number: 5
horrible: Topic: 3961, Keyword number: 6
apes: Topic: 3962, Keyword number: 0
wahlberg: Topic: 3962, Keyword number: 1
direction: Topic: 3962, Keyword number: 2
children: Topic: 3962, Keyword number: 3
sitcom: Topic: 3962, Keyword number: 4
river_runs: Topic: 3962, Keyword number: 5
circumcision_psychic: Topic: 3962, Keyword number: 6
circumcision: Topic: 3962, Keyword number: 7
kret's: Topic: 3962, Keyword number: 8
surprise_ending: Topic: 3962, Keyword number: 9
ape: Topic: 3962, Keyword number: 10
astronaut: Topic: 3962, Keyword number: 11
psychic: Topic: 3962, Keyword number: 12
focused: Topic: 3962, Keyword number: 13
state: Topic: 3962, Keyword number: 14
viewers: Topic: 3962, Keyword number: 15
engross_help: Topic: 3962, Keyword number: 16
engross: Topic: 3962, Keyword number: 17
exploits_unique: Topic: 3962, Keyword number: 18
taking_dope: Topic: 3962, Keyword number: 19
dream_state: Topic: 3962, Keyword number: 20
effected_opening: Topic: 3962, Keyword number: 21
top-notch_never: Topic: 3962, Keyword number: 22
runs_film: Topic: 3962, Keyword number: 23
manic_end: Topic: 3962, Keyword number: 24
rebel: Topic: 3965, Keyword number: 0
conclusion_everyone: Topic: 3965, Keyword number: 1
way_unbelievable: Topic: 3965, Keyword number: 2
ridiculous_scenes: Topic: 3965, Keyword number: 3
grown_ones: Topic: 3965, Keyword number: 4
feel_dean: Topic: 3965, Keyword number: 5
appear_kids: Topic: 3965, Keyword number: 6
wood_pal: Topic: 3965, Keyword number: 7
james_dean: Topic: 3965, Keyword number: 8
emotions_matter: Topic: 3965, Keyword number: 9
relate_everyone: Topic: 3965, Keyword number: 10
present: Topic: 3965, Keyword number: 11
minds: Topic: 3965, Keyword number: 12
redford: Topic: 3965, Keyword number: 13
it's: Topic: 3967, Keyword number: 0
show: Topic: 3967, Keyword number: 1
two: Topic: 3967, Keyword number: 2
think: Topic: 3967, Keyword number: 3
see: Topic: 3967, Keyword number: 4
costner: Topic: 3967, Keyword number: 5
film: Topic: 3967, Keyword number: 6
start: Topic: 3967, Keyword number: 7
going: Topic: 3967, Keyword number: 8
supposed: Topic: 3967, Keyword number: 9
far: Topic: 3967, Keyword number: 10
family: Topic: 3967, Keyword number: 11
hilarious: Topic: 3967, Keyword number: 12
war: Topic: 3967, Keyword number: 13
girl: Topic: 3967, Keyword number: 14
actually: Topic: 3967, Keyword number: 15
secret: Topic: 3967, Keyword number: 16
young_girl: Topic: 3967, Keyword number: 17
towards: Topic: 3967, Keyword number: 18
cast: Topic: 3967, Keyword number: 19
bay: Topic: 3967, Keyword number: 20
art: Topic: 3967, Keyword number: 21
running: Topic: 3967, Keyword number: 22
middle: Topic: 3967, Keyword number: 23
come: Topic: 3967, Keyword number: 24
costuming_well: Topic: 3968, Keyword number: 0
interest_dance: Topic: 3968, Keyword number: 1
selling_doesn't: Topic: 3968, Keyword number: 2
stripe_molly: Topic: 3968, Keyword number: 3
performed_major: Topic: 3968, Keyword number: 4
crooks_scum: Topic: 3968, Keyword number: 5
become_villainess: Topic: 3968, Keyword number: 6
nomi's_feelings: Topic: 3968, Keyword number: 7
using_rest: Topic: 3968, Keyword number: 8
life_better: Topic: 3968, Keyword number: 9
legitimate_portrayal: Topic: 3968, Keyword number: 10
cooperation_don't: Topic: 3968, Keyword number: 11
power_value: Topic: 3968, Keyword number: 12
blatant_scenes: Topic: 3968, Keyword number: 13
environment_naked: Topic: 3968, Keyword number: 14
stance_movie: Topic: 3968, Keyword number: 15
socially-acceptable: Topic: 3968, Keyword number: 16
plotlines_together: Topic: 3968, Keyword number: 17
gershon: Topic: 3968, Keyword number: 18
everyone's_taste: Topic: 3968, Keyword number: 19
america_without: Topic: 3968, Keyword number: 20
basic_instinct: Topic: 3968, Keyword number: 21
catches: Topic: 3968, Keyword number: 22
stratum: Topic: 3968, Keyword number: 23
writer_last: Topic: 3968, Keyword number: 24
truman_show: Topic: 3970, Keyword number: 0
mozart: Topic: 3970, Keyword number: 1
hulce: Topic: 3970, Keyword number: 2
composer_salieri: Topic: 3970, Keyword number: 3
nicholson_chinatown: Topic: 3970, Keyword number: 4
breathing_jack: Topic: 3970, Keyword number: 5
like_breathing: Topic: 3970, Keyword number: 6
lost_nose: Topic: 3970, Keyword number: 7
cast_perfectly: Topic: 3970, Keyword number: 8
coloreds: Topic: 3970, Keyword number: 9
remembered: Topic: 3970, Keyword number: 10
brilliance: Topic: 3970, Keyword number: 11
nose: Topic: 3970, Keyword number: 12
like_like: Topic: 3970, Keyword number: 13
express: Topic: 3970, Keyword number: 14
feels: Topic: 3970, Keyword number: 15
jack_nicholson: Topic: 3970, Keyword number: 16
weak: Topic: 3970, Keyword number: 17
genius_music: Topic: 3970, Keyword number: 18
mozart_genius: Topic: 3970, Keyword number: 19
unforgettable_scores: Topic: 3970, Keyword number: 20
direction_unforgettable: Topic: 3970, Keyword number: 21
stunning_art: Topic: 3970, Keyword number: 22
memorable_well: Topic: 3970, Keyword number: 23
makeup_memorable: Topic: 3970, Keyword number: 24
lot_funny: Topic: 3973, Keyword number: 0
jaws: Topic: 3976, Keyword number: 0
brody: Topic: 3976, Keyword number: 1
spielberg: Topic: 3976, Keyword number: 2
vaughn: Topic: 3976, Keyword number: 3
island: Topic: 3976, Keyword number: 4
overruns: Topic: 3976, Keyword number: 5
soggy_production: Topic: 3976, Keyword number: 6
sort_precursor: Topic: 3976, Keyword number: 7
precursor: Topic: 3976, Keyword number: 8
forgotten_jaws: Topic: 3976, Keyword number: 9
many_forgotten: Topic: 3976, Keyword number: 10
actual_footage: Topic: 3976, Keyword number: 11
writihing_dangling: Topic: 3976, Keyword number: 12
see_look: Topic: 3976, Keyword number: 13
nemesis: Topic: 3976, Keyword number: 14
epitome_mankind's: Topic: 3976, Keyword number: 15
rows: Topic: 3976, Keyword number: 16
endless: Topic: 3976, Keyword number: 17
delivers_story: Topic: 3976, Keyword number: 18
screen_shaw: Topic: 3976, Keyword number: 19
devoured_actually: Topic: 3976, Keyword number: 20
devoured: Topic: 3976, Keyword number: 21
swarms: Topic: 3976, Keyword number: 22
japanese_tale: Topic: 3976, Keyword number: 23
hooper_deck: Topic: 3976, Keyword number: 24
lingers_uncomfortably: Topic: 3977, Keyword number: 0
eckhart: Topic: 3977, Keyword number: 1
becomes_riveting: Topic: 3977, Keyword number: 2
hour_turns: Topic: 3977, Keyword number: 3
replacement: Topic: 3977, Keyword number: 4
riveting: Topic: 3977, Keyword number: 5
asking_paint: Topic: 3979, Keyword number: 0
whether_film: Topic: 3979, Keyword number: 1
arises_whether: Topic: 3979, Keyword number: 2
went_ship: Topic: 3979, Keyword number: 3
substance: Topic: 3988, Keyword number: 0
ocean_liner: Topic: 3996, Keyword number: 0
luxurious_hotel: Topic: 3996, Keyword number: 1
painting_film: Topic: 3996, Keyword number: 2
resembles_rimini: Topic: 3996, Keyword number: 3
instead_follow: Topic: 3996, Keyword number: 4
unlike_many: Topic: 3996, Keyword number: 5
shameless: Topic: 3997, Keyword number: 0
skarsgard_catches: Topic: 3997, Keyword number: 1
hall_blackboards: Topic: 3997, Keyword number: 2
yet_years: Topic: 3997, Keyword number: 3
anonymity: Topic: 3997, Keyword number: 4
better_understanding: Topic: 3997, Keyword number: 5
itty: Topic: 3998, Keyword number: 0
swanson: Topic: 3998, Keyword number: 1
brief: Topic: 3998, Keyword number: 2
sparked: Topic: 3999, Keyword number: 0
warriors: Topic: 4001, Keyword number: 0
youth: Topic: 4001, Keyword number: 1
led: Topic: 4001, Keyword number: 2
walter_hill: Topic: 4001, Keyword number: 3
hill: Topic: 4001, Keyword number: 4
city: Topic: 4001, Keyword number: 5
michael_beck: Topic: 4001, Keyword number: 6
swann: Topic: 4001, Keyword number: 7
patrick_kelly: Topic: 4001, Keyword number: 8
david_patrick: Topic: 4001, Keyword number: 9
youth_gangs: Topic: 4001, Keyword number: 10
coney: Topic: 4001, Keyword number: 11
ancient_persia: Topic: 4001, Keyword number: 12
decaprio: Topic: 4001, Keyword number: 13
luhrmann's: Topic: 4001, Keyword number: 14
cities: Topic: 4001, Keyword number: 15
truce: Topic: 4001, Keyword number: 16
accused: Topic: 4001, Keyword number: 17
ancient: Topic: 4001, Keyword number: 18
failed: Topic: 4001, Keyword number: 19
beck: Topic: 4001, Keyword number: 20
superb: Topic: 4001, Keyword number: 21
instead: Topic: 4001, Keyword number: 22
kelly: Topic: 4001, Keyword number: 23
lot_entertainment: Topic: 4001, Keyword number: 24
carol: Topic: 4002, Keyword number: 0
cuba_gooding: Topic: 4002, Keyword number: 1
story_life: Topic: 4002, Keyword number: 2
simon: Topic: 4002, Keyword number: 3
composer: Topic: 4002, Keyword number: 4
earlier_seen: Topic: 4002, Keyword number: 5
impressive_bridget: Topic: 4002, Keyword number: 6
discussing_life: Topic: 4002, Keyword number: 7
city_important: Topic: 4002, Keyword number: 8
film_focus: Topic: 4002, Keyword number: 9
fictional_town: Topic: 4002, Keyword number: 10
mentioned_nick: Topic: 4002, Keyword number: 11
nick_fired: Topic: 4002, Keyword number: 12
beth's_best: Topic: 4002, Keyword number: 13
title_stressed: Topic: 4002, Keyword number: 14
rest_title: Topic: 4002, Keyword number: 15
thanks_talented: Topic: 4002, Keyword number: 16
bring_irving's: Topic: 4002, Keyword number: 17
pulling_collective: Topic: 4002, Keyword number: 18
shows_enormous: Topic: 4002, Keyword number: 19
sub-standardly: Topic: 4002, Keyword number: 20
big-screen_example: Topic: 4002, Keyword number: 21
irving_written: Topic: 4002, Keyword number: 22
dissolute_orphanage: Topic: 4002, Keyword number: 23
paul_rudd: Topic: 4002, Keyword number: 24
chemistry_one: Topic: 4003, Keyword number: 0
genuinely_amusing: Topic: 4006, Keyword number: 0
frankenstein: Topic: 4008, Keyword number: 0
victor: Topic: 4008, Keyword number: 1
victor_frankenstein: Topic: 4008, Keyword number: 2
creation: Topic: 4008, Keyword number: 3
kenneth: Topic: 4008, Keyword number: 4
surrogate_sister: Topic: 4008, Keyword number: 5
creature: Topic: 4008, Keyword number: 6
character_victor: Topic: 4008, Keyword number: 7
frankenstein's: Topic: 4008, Keyword number: 8
electrical: Topic: 4008, Keyword number: 9
ingolstadt: Topic: 4008, Keyword number: 10
boham_carter: Topic: 4008, Keyword number: 11
boham: Topic: 4008, Keyword number: 12
frankenstein_kenneth: Topic: 4008, Keyword number: 13
mary_shelley's: Topic: 4008, Keyword number: 14
shelley's: Topic: 4008, Keyword number: 15
arctic: Topic: 4008, Keyword number: 16
dead_bodies: Topic: 4008, Keyword number: 17
stronger: Topic: 4008, Keyword number: 18
carter: Topic: 4008, Keyword number: 19
wanted: Topic: 4008, Keyword number: 20
science: Topic: 4008, Keyword number: 21
terrifying: Topic: 4008, Keyword number: 22
best_adaptions: Topic: 4008, Keyword number: 23
probably_created: Topic: 4008, Keyword number: 24
bet_you're: Topic: 4009, Keyword number: 0
help_curious: Topic: 4009, Keyword number: 1
gets_get: Topic: 4009, Keyword number: 2
around_four: Topic: 4009, Keyword number: 3
get_laid: Topic: 4009, Keyword number: 4
recognizable: Topic: 4009, Keyword number: 5
carlos: Topic: 4010, Keyword number: 0
group_interaction: Topic: 4010, Keyword number: 1
attorney_dreams: Topic: 4010, Keyword number: 2
keeslar_assistant: Topic: 4010, Keyword number: 3
observes_cattily: Topic: 4010, Keyword number: 4
buddies_back: Topic: 4010, Keyword number: 5
films_glorifying: Topic: 4010, Keyword number: 6
shots_afterschool: Topic: 4010, Keyword number: 7
critics_instead: Topic: 4010, Keyword number: 8
deserves_accolades: Topic: 4010, Keyword number: 9
wraps: Topic: 4010, Keyword number: 10
hunky: Topic: 4010, Keyword number: 11
would_listen: Topic: 4010, Keyword number: 12
actors_take: Topic: 4010, Keyword number: 13
individuals_instead: Topic: 4010, Keyword number: 14
point_give: Topic: 4010, Keyword number: 15
makes_seem: Topic: 4010, Keyword number: 16
lower-case: Topic: 4010, Keyword number: 17
human_greatest: Topic: 4010, Keyword number: 18
rich_congressman: Topic: 4010, Keyword number: 19
focused_works: Topic: 4010, Keyword number: 20
nunez_jay: Topic: 4010, Keyword number: 21
every_morning: Topic: 4010, Keyword number: 22
relationship_two: Topic: 4010, Keyword number: 23
regardless_film: Topic: 4010, Keyword number: 24
sixties_raining: Topic: 4011, Keyword number: 0
golden_globes: Topic: 4011, Keyword number: 1
endearment_broadcast: Topic: 4011, Keyword number: 2
odd_wonderful: Topic: 4011, Keyword number: 3
bit_odd: Topic: 4011, Keyword number: 4
less_babe: Topic: 4011, Keyword number: 5
agenda_rushes: Topic: 4011, Keyword number: 6
still_curmudgeon: Topic: 4011, Keyword number: 7
nice_make: Topic: 4011, Keyword number: 8
parents_friends: Topic: 4011, Keyword number: 9
even_develops: Topic: 4011, Keyword number: 10
return_work: Topic: 4011, Keyword number: 11
carol_return: Topic: 4011, Keyword number: 12
ritualistically: Topic: 4011, Keyword number: 13
one_willing: Topic: 4011, Keyword number: 14
curmudgeon_waitress: Topic: 4011, Keyword number: 15
misogynist_setting: Topic: 4011, Keyword number: 16
different_bars: Topic: 4011, Keyword number: 17
winners_national: Topic: 4011, Keyword number: 18
first_meet: Topic: 4011, Keyword number: 19
it's_minor: Topic: 4011, Keyword number: 20
outside_world: Topic: 4011, Keyword number: 21
stunts_side-splitting: Topic: 4016, Keyword number: 0
high-flying: Topic: 4016, Keyword number: 1
improved_others: Topic: 4016, Keyword number: 2
example_hanging: Topic: 4016, Keyword number: 3
like_practice: Topic: 4016, Keyword number: 4
exciting_three: Topic: 4016, Keyword number: 5
entertaining_found: Topic: 4016, Keyword number: 6
awarded: Topic: 4016, Keyword number: 7
movie_he's: Topic: 4016, Keyword number: 8
fast_furious: Topic: 4016, Keyword number: 9
woo_films: Topic: 4016, Keyword number: 10
stella: Topic: 4016, Keyword number: 11
job_protecting: Topic: 4016, Keyword number: 12
transfer_back: Topic: 4016, Keyword number: 13
greatly: Topic: 4016, Keyword number: 14
tale: Topic: 4017, Keyword number: 0
singing: Topic: 4017, Keyword number: 1
special: Topic: 4017, Keyword number: 2
two: Topic: 4017, Keyword number: 3
jekyll: Topic: 4017, Keyword number: 4
able: Topic: 4017, Keyword number: 5
putting: Topic: 4017, Keyword number: 6
without: Topic: 4017, Keyword number: 7
perhaps: Topic: 4017, Keyword number: 8
movie: Topic: 4017, Keyword number: 9
interesting: Topic: 4017, Keyword number: 10
top-flight_cast: Topic: 4017, Keyword number: 11
remembering_lot: Topic: 4017, Keyword number: 12
child_abuse: Topic: 4017, Keyword number: 13
inject: Topic: 4017, Keyword number: 14
butterworth: Topic: 4017, Keyword number: 15
flourishes: Topic: 4017, Keyword number: 16
roberts: Topic: 4017, Keyword number: 17
loved: Topic: 4017, Keyword number: 18
professional: Topic: 4017, Keyword number: 19
jones: Topic: 4017, Keyword number: 20
special_effects: Topic: 4017, Keyword number: 21
remembering: Topic: 4017, Keyword number: 22
substance: Topic: 4017, Keyword number: 23
shocked: Topic: 4017, Keyword number: 24
heard_movie: Topic: 4018, Keyword number: 0
read_poem: Topic: 4019, Keyword number: 0
scene_chastity: Topic: 4019, Keyword number: 1
yes_one: Topic: 4019, Keyword number: 2
hard-edged_easy: Topic: 4019, Keyword number: 3
constantly_saying: Topic: 4019, Keyword number: 4
around_constantly: Topic: 4019, Keyword number: 5
gals_ran: Topic: 4019, Keyword number: 6
patrick_get: Topic: 4019, Keyword number: 7
pawn_pay: Topic: 4019, Keyword number: 8
sights_set: Topic: 4019, Keyword number: 9
french_purposefully: Topic: 4019, Keyword number: 10
teen_horror-comedy: Topic: 4019, Keyword number: 11
movie_aimed: Topic: 4019, Keyword number: 12
may_first: Topic: 4019, Keyword number: 13
fad_scream: Topic: 4019, Keyword number: 14
film_near: Topic: 4019, Keyword number: 15
scream_released: Topic: 4019, Keyword number: 16
characters_one: Topic: 4019, Keyword number: 17
central_characters: Topic: 4019, Keyword number: 18
complicating: Topic: 4019, Keyword number: 19
near_beginning: Topic: 4019, Keyword number: 20
box-office_smash: Topic: 4019, Keyword number: 21
rage: Topic: 4019, Keyword number: 22
actually_thinks: Topic: 4019, Keyword number: 23
issues_emerge: Topic: 4023, Keyword number: 0
heavier_issues: Topic: 4023, Keyword number: 1
consequently_don't: Topic: 4023, Keyword number: 2
sister_negligible: Topic: 4023, Keyword number: 3
arthur's_sister: Topic: 4023, Keyword number: 4
slices: Topic: 4023, Keyword number: 5
score_includes: Topic: 4023, Keyword number: 6
daring's: Topic: 4023, Keyword number: 7
artistic_look: Topic: 4023, Keyword number: 8
especially_tense: Topic: 4023, Keyword number: 9
technology--the: Topic: 4023, Keyword number: 10
employ_great: Topic: 4023, Keyword number: 11
technology_man: Topic: 4023, Keyword number: 12
pits_spirituality: Topic: 4023, Keyword number: 13
