like: Topic: 0, Keyword number: 0
animated: Topic: 58, Keyword number: 21
michael: Topic: 58, Keyword number: 22
dog_flanders: Topic: 58, Keyword number: 23
deep: Topic: 58, Keyword number: 24
truman: Topic: 59, Keyword number: 0
truman_show: Topic: 59, Keyword number: 1
carrey: Topic: 59, Keyword number: 2
hour: Topic: 59, Keyword number: 3
life: Topic: 59, Keyword number: 4
jim: Topic: 59, Keyword number: 5
perfect: Topic: 59, Keyword number: 6
jim_carrey: Topic: 59, Keyword number: 7
weir: Topic: 59, Keyword number: 8
burbank: Topic: 59, Keyword number: 9
reza: Topic: 59, Keyword number: 10
christof: Topic: 59, Keyword number: 11
niccol: Topic: 59, Keyword number: 12
truman_burbank: Topic: 59, Keyword number: 13
truman's: Topic: 59, Keyword number: 14
seahaven: Topic: 59, Keyword number: 15
script: Topic: 59, Keyword number: 16
alda: Topic: 59, Keyword number: 17
women: Topic: 59, Keyword number: 18
secrets: Topic: 59, Keyword number: 19
harris: Topic: 59, Keyword number: 20
marriage: Topic: 59, Keyword number: 21
perfectly: Topic: 59, Keyword number: 22
looks: Topic: 59, Keyword number: 23
cameras: Topic: 59, Keyword number: 24
mob: Topic: 60, Keyword number: 0
ghost_dog: Topic: 60, Keyword number: 1
book: Topic: 60, Keyword number: 2
audience: Topic: 60, Keyword number: 3
disco: Topic: 60, Keyword number: 4
frank: Topic: 60, Keyword number: 5
eastwood: Topic: 60, Keyword number: 6
caveman's: Topic: 60, Keyword number: 7
gibson: Topic: 60, Keyword number: 8
boss: Topic: 60, Keyword number: 9
girl: Topic: 60, Keyword number: 10
crime: Topic: 60, Keyword number: 11
william's: Topic: 60, Keyword number: 12
across: Topic: 60, Keyword number: 13
playing: Topic: 60, Keyword number: 14
anyone: Topic: 60, Keyword number: 15
katherine: Topic: 60, Keyword number: 16
deputy: Topic: 60, Keyword number: 17
palace: Topic: 60, Keyword number: 18
return: Topic: 60, Keyword number: 19
crystal: Topic: 60, Keyword number: 20
alive: Topic: 60, Keyword number: 21
beckinsale: Topic: 60, Keyword number: 22
samurai: Topic: 60, Keyword number: 23
burnham: Topic: 60, Keyword number: 24
film: Topic: 61, Keyword number: 0
movie: Topic: 61, Keyword number: 1
story: Topic: 61, Keyword number: 2
it's: Topic: 61, Keyword number: 3
good: Topic: 61, Keyword number: 4
like: Topic: 61, Keyword number: 5
one: Topic: 61, Keyword number: 6
seen: Topic: 61, Keyword number: 7
well: Topic: 61, Keyword number: 8
people: Topic: 61, Keyword number: 9
love: Topic: 61, Keyword number: 10
see: Topic: 61, Keyword number: 11
even: Topic: 61, Keyword number: 12
could: Topic: 61, Keyword number: 13
two: Topic: 61, Keyword number: 14
back: Topic: 61, Keyword number: 15
plot: Topic: 61, Keyword number: 16
though: Topic: 61, Keyword number: 17
ever: Topic: 61, Keyword number: 18
never: Topic: 61, Keyword number: 19
don't: Topic: 61, Keyword number: 20
get: Topic: 61, Keyword number: 21
i've: Topic: 61, Keyword number: 22
young: Topic: 61, Keyword number: 23
that's: Topic: 61, Keyword number: 24
death: Topic: 62, Keyword number: 0
altman: Topic: 62, Keyword number: 1
upon: Topic: 62, Keyword number: 2
book: Topic: 62, Keyword number: 3
comic: Topic: 62, Keyword number: 4
nello: Topic: 62, Keyword number: 5
things: Topic: 62, Keyword number: 6
men: Topic: 62, Keyword number: 7
car: Topic: 62, Keyword number: 8
gives: Topic: 62, Keyword number: 9
simple: Topic: 62, Keyword number: 10
black: Topic: 62, Keyword number: 11
surprising: Topic: 62, Keyword number: 12
enough: Topic: 62, Keyword number: 13
read: Topic: 62, Keyword number: 14
hope: Topic: 62, Keyword number: 15
scene: Topic: 62, Keyword number: 16
police: Topic: 62, Keyword number: 17
means: Topic: 62, Keyword number: 18
actually: Topic: 62, Keyword number: 19
monkey: Topic: 62, Keyword number: 20
man: Topic: 62, Keyword number: 21
wrong: Topic: 62, Keyword number: 22
robert: Topic: 62, Keyword number: 23
bit: Topic: 62, Keyword number: 24
princess: Topic: 63, Keyword number: 0
van: Topic: 63, Keyword number: 1
queen: Topic: 63, Keyword number: 2
one: Topic: 63, Keyword number: 3
well: Topic: 63, Keyword number: 4
look: Topic: 63, Keyword number: 5
fiona: Topic: 63, Keyword number: 6
several: Topic: 63, Keyword number: 7
donkey: Topic: 63, Keyword number: 8
fiennes: Topic: 63, Keyword number: 9
director: Topic: 63, Keyword number: 10
makes: Topic: 63, Keyword number: 11
making: Topic: 63, Keyword number: 12
shaft: Topic: 63, Keyword number: 13
knights: Topic: 63, Keyword number: 14
points: Topic: 63, Keyword number: 15
effective: Topic: 63, Keyword number: 16
big: Topic: 63, Keyword number: 17
seems: Topic: 63, Keyword number: 18
hit: Topic: 63, Keyword number: 19
often: Topic: 63, Keyword number: 20
must: Topic: 63, Keyword number: 21
lord: Topic: 63, Keyword number: 22
music: Topic: 63, Keyword number: 23
feel: Topic: 63, Keyword number: 24
dude: Topic: 64, Keyword number: 0
john: Topic: 64, Keyword number: 1
lebowski: Topic: 64, Keyword number: 2
big: Topic: 64, Keyword number: 3
big_lebowski: Topic: 64, Keyword number: 4
jeff: Topic: 64, Keyword number: 5
three: Topic: 64, Keyword number: 6
coen: Topic: 64, Keyword number: 7
mermaid: Topic: 64, Keyword number: 8
bowling: Topic: 64, Keyword number: 9
coens: Topic: 64, Keyword number: 10
walter: Topic: 64, Keyword number: 11
fargo: Topic: 64, Keyword number: 12
gives: Topic: 64, Keyword number: 13
goes: Topic: 64, Keyword number: 14
bank: Topic: 64, Keyword number: 15
who's: Topic: 64, Keyword number: 16
brothers: Topic: 64, Keyword number: 17
coen_brothers: Topic: 64, Keyword number: 18
wife: Topic: 64, Keyword number: 19
plot: Topic: 64, Keyword number: 20
goodman: Topic: 64, Keyword number: 21
going: Topic: 64, Keyword number: 22
steve: Topic: 64, Keyword number: 23
like: Topic: 64, Keyword number: 24
also: Topic: 65, Keyword number: 0
good: Topic: 65, Keyword number: 1
played: Topic: 65, Keyword number: 2
movies: Topic: 65, Keyword number: 3
make: Topic: 65, Keyword number: 4
film: Topic: 65, Keyword number: 5
great: Topic: 65, Keyword number: 6
elizabeth: Topic: 65, Keyword number: 7
old: Topic: 65, Keyword number: 8
story: Topic: 65, Keyword number: 9
days: Topic: 65, Keyword number: 10
many: Topic: 65, Keyword number: 11
douglas: Topic: 65, Keyword number: 12
play: Topic: 65, Keyword number: 13
one: Topic: 65, Keyword number: 14
years: Topic: 65, Keyword number: 15
screen: Topic: 65, Keyword number: 16
last: Topic: 65, Keyword number: 17
although: Topic: 65, Keyword number: 18
scenes: Topic: 65, Keyword number: 19
danny: Topic: 65, Keyword number: 20
movie: Topic: 65, Keyword number: 21
together: Topic: 65, Keyword number: 22
bring: Topic: 65, Keyword number: 23
role: Topic: 65, Keyword number: 24
it's: Topic: 66, Keyword number: 0
something: Topic: 66, Keyword number: 1
see: Topic: 66, Keyword number: 2
one: Topic: 66, Keyword number: 3
guy: Topic: 66, Keyword number: 4
comedy: Topic: 66, Keyword number: 5
take: Topic: 66, Keyword number: 6
make: Topic: 66, Keyword number: 7
sure: Topic: 66, Keyword number: 8
good: Topic: 66, Keyword number: 9
there's: Topic: 66, Keyword number: 10
duke: Topic: 66, Keyword number: 11
knows: Topic: 66, Keyword number: 12
night: Topic: 66, Keyword number: 13
along: Topic: 66, Keyword number: 14
thing: Topic: 66, Keyword number: 15
comes: Topic: 66, Keyword number: 16
performance: Topic: 66, Keyword number: 17
friends: Topic: 66, Keyword number: 18
even: Topic: 66, Keyword number: 19
ben_stiller: Topic: 66, Keyword number: 20
want: Topic: 66, Keyword number: 21
screen: Topic: 66, Keyword number: 22
charm: Topic: 66, Keyword number: 23
career: Topic: 66, Keyword number: 24
jackie: Topic: 67, Keyword number: 0
tarantino: Topic: 67, Keyword number: 1
brown: Topic: 67, Keyword number: 2
jackie_brown: Topic: 67, Keyword number: 3
pulp_fiction: Topic: 67, Keyword number: 4
pulp: Topic: 67, Keyword number: 5
ordell: Topic: 67, Keyword number: 6
one: Topic: 67, Keyword number: 7
vegas: Topic: 67, Keyword number: 8
time: Topic: 67, Keyword number: 9
plane: Topic: 67, Keyword number: 10
las: Topic: 67, Keyword number: 11
money: Topic: 67, Keyword number: 12
las_vegas: Topic: 67, Keyword number: 13
crime: Topic: 67, Keyword number: 14
she's: Topic: 67, Keyword number: 15
director: Topic: 67, Keyword number: 16
michael: Topic: 67, Keyword number: 17
making: Topic: 67, Keyword number: 18
dialogue: Topic: 67, Keyword number: 19
years: Topic: 67, Keyword number: 20
getting: Topic: 67, Keyword number: 21
rocky_horror: Topic: 67, Keyword number: 22
keaton: Topic: 67, Keyword number: 23
fonda: Topic: 67, Keyword number: 24
flynt: Topic: 68, Keyword number: 0
larry_flynt: Topic: 68, Keyword number: 1
love: Topic: 68, Keyword number: 2
amistad: Topic: 68, Keyword number: 3
order: Topic: 68, Keyword number: 4
fiction: Topic: 68, Keyword number: 5
giles: Topic: 68, Keyword number: 6
freedom: Topic: 68, Keyword number: 7
science: Topic: 68, Keyword number: 8
personal: Topic: 68, Keyword number: 9
flynt's: Topic: 68, Keyword number: 10
people_larry: Topic: 68, Keyword number: 11
motion: Topic: 68, Keyword number: 12
right: Topic: 68, Keyword number: 13
harrelson: Topic: 68, Keyword number: 14
people: Topic: 68, Keyword number: 15
althea: Topic: 68, Keyword number: 16
visual: Topic: 68, Keyword number: 17
true: Topic: 68, Keyword number: 18
performance: Topic: 68, Keyword number: 19
created: Topic: 68, Keyword number: 20
magazine: Topic: 68, Keyword number: 21
pilots: Topic: 68, Keyword number: 22
historical: Topic: 68, Keyword number: 23
return: Topic: 68, Keyword number: 24
kate: Topic: 69, Keyword number: 0
part: Topic: 69, Keyword number: 1
election: Topic: 69, Keyword number: 2
washington: Topic: 69, Keyword number: 3
moses: Topic: 69, Keyword number: 4
relationships: Topic: 69, Keyword number: 5
footage: Topic: 69, Keyword number: 6
broderick: Topic: 69, Keyword number: 7
life: Topic: 69, Keyword number: 8
learn: Topic: 69, Keyword number: 9
tracy: Topic: 69, Keyword number: 10
says: Topic: 69, Keyword number: 11
incident: Topic: 69, Keyword number: 12
lives: Topic: 69, Keyword number: 13
scientists: Topic: 69, Keyword number: 14
original: Topic: 69, Keyword number: 15
merton: Topic: 69, Keyword number: 16
susan: Topic: 69, Keyword number: 17
millie: Topic: 69, Keyword number: 18
meet: Topic: 69, Keyword number: 19
far: Topic: 69, Keyword number: 20
army: Topic: 69, Keyword number: 21
witherspoon: Topic: 69, Keyword number: 22
bad: Topic: 69, Keyword number: 23
innocent: Topic: 69, Keyword number: 24
film: Topic: 70, Keyword number: 0
like: Topic: 70, Keyword number: 1
one: Topic: 70, Keyword number: 2
jackie: Topic: 70, Keyword number: 3
it's: Topic: 70, Keyword number: 4
first: Topic: 70, Keyword number: 5
would: Topic: 70, Keyword number: 6
make: Topic: 70, Keyword number: 7
also: Topic: 70, Keyword number: 8
movie: Topic: 70, Keyword number: 9
look: Topic: 70, Keyword number: 10
still: Topic: 70, Keyword number: 11
well: Topic: 70, Keyword number: 12
get: Topic: 70, Keyword number: 13
almost: Topic: 70, Keyword number: 14
plot: Topic: 70, Keyword number: 15
often: Topic: 70, Keyword number: 16
even: Topic: 70, Keyword number: 17
bad: Topic: 70, Keyword number: 18
scenes: Topic: 70, Keyword number: 19
chan: Topic: 70, Keyword number: 20
action: Topic: 70, Keyword number: 21
takes: Topic: 70, Keyword number: 22
role: Topic: 70, Keyword number: 23
don't: Topic: 70, Keyword number: 24
film: Topic: 71, Keyword number: 0
first: Topic: 71, Keyword number: 1
original: Topic: 71, Keyword number: 2
special: Topic: 71, Keyword number: 3
movie: Topic: 71, Keyword number: 4
years: Topic: 71, Keyword number: 5
simply: Topic: 71, Keyword number: 6
documentary: Topic: 71, Keyword number: 7
even: Topic: 71, Keyword number: 8
three: Topic: 71, Keyword number: 9
old: Topic: 71, Keyword number: 10
witch: Topic: 71, Keyword number: 11
use: Topic: 71, Keyword number: 12
popular: Topic: 71, Keyword number: 13
video: Topic: 71, Keyword number: 14
feel: Topic: 71, Keyword number: 15
sequel: Topic: 71, Keyword number: 16
project: Topic: 71, Keyword number: 17
exception: Topic: 71, Keyword number: 18
title: Topic: 71, Keyword number: 19
stars: Topic: 71, Keyword number: 20
doesn't: Topic: 71, Keyword number: 21
two: Topic: 71, Keyword number: 22
halloween: Topic: 71, Keyword number: 23
future: Topic: 71, Keyword number: 24
end: Topic: 72, Keyword number: 0
way: Topic: 72, Keyword number: 1
character: Topic: 72, Keyword number: 2
woman: Topic: 72, Keyword number: 3
mike: Topic: 72, Keyword number: 4
something: Topic: 72, Keyword number: 5
screen: Topic: 72, Keyword number: 6
completely: Topic: 72, Keyword number: 7
he's: Topic: 72, Keyword number: 8
never: Topic: 72, Keyword number: 9
hollywood: Topic: 72, Keyword number: 10
gay: Topic: 72, Keyword number: 11
political: Topic: 72, Keyword number: 12
enough: Topic: 72, Keyword number: 13
sense: Topic: 72, Keyword number: 14
didn't: Topic: 72, Keyword number: 15
yet: Topic: 72, Keyword number: 16
whether: Topic: 72, Keyword number: 17
instead: Topic: 72, Keyword number: 18
help: Topic: 72, Keyword number: 19
situations: Topic: 72, Keyword number: 20
throughout: Topic: 72, Keyword number: 21
turn: Topic: 72, Keyword number: 22
far: Topic: 72, Keyword number: 23
true: Topic: 72, Keyword number: 24
melvin: Topic: 73, Keyword number: 0
dog: Topic: 73, Keyword number: 1
truly: Topic: 73, Keyword number: 2
he's: Topic: 73, Keyword number: 3
merely: Topic: 73, Keyword number: 4
anderson: Topic: 73, Keyword number: 5
scene: Topic: 73, Keyword number: 6
life: Topic: 73, Keyword number: 7
tells: Topic: 73, Keyword number: 8
carol: Topic: 73, Keyword number: 9
takes: Topic: 73, Keyword number: 10
cuba: Topic: 73, Keyword number: 11
woman: Topic: 73, Keyword number: 12
work: Topic: 73, Keyword number: 13
apartment: Topic: 73, Keyword number: 14
entire: Topic: 73, Keyword number: 15
playing: Topic: 73, Keyword number: 16
pain: Topic: 73, Keyword number: 17
heaven: Topic: 73, Keyword number: 18
wait: Topic: 73, Keyword number: 19
relationship: Topic: 73, Keyword number: 20
jan: Topic: 73, Keyword number: 21
happens: Topic: 73, Keyword number: 22
pretty: Topic: 73, Keyword number: 23
simon's: Topic: 73, Keyword number: 24
film: Topic: 74, Keyword number: 0
one: Topic: 74, Keyword number: 1
time: Topic: 74, Keyword number: 2
real: Topic: 74, Keyword number: 3
character: Topic: 74, Keyword number: 4
way: Topic: 74, Keyword number: 5
it's: Topic: 74, Keyword number: 6
life: Topic: 74, Keyword number: 7
see: Topic: 74, Keyword number: 8
story: Topic: 74, Keyword number: 9
people: Topic: 74, Keyword number: 10
films: Topic: 74, Keyword number: 11
scene: Topic: 74, Keyword number: 12
would: Topic: 74, Keyword number: 13
like: Topic: 74, Keyword number: 14
place: Topic: 74, Keyword number: 15
years: Topic: 74, Keyword number: 16
work: Topic: 74, Keyword number: 17
well: Topic: 74, Keyword number: 18
man: Topic: 74, Keyword number: 19
though: Topic: 74, Keyword number: 20
another: Topic: 74, Keyword number: 21
much: Topic: 74, Keyword number: 22
yet: Topic: 74, Keyword number: 23
also: Topic: 74, Keyword number: 24
tarzan: Topic: 75, Keyword number: 0
ship: Topic: 75, Keyword number: 1
wedding: Topic: 75, Keyword number: 2
event: Topic: 75, Keyword number: 3
horizon: Topic: 75, Keyword number: 4
event_horizon: Topic: 75, Keyword number: 5
sandler: Topic: 75, Keyword number: 6
gladiator: Topic: 75, Keyword number: 7
singer: Topic: 75, Keyword number: 8
maximus: Topic: 75, Keyword number: 9
wedding_singer: Topic: 75, Keyword number: 10
commodus: Topic: 75, Keyword number: 11
slave: Topic: 75, Keyword number: 12
crew: Topic: 75, Keyword number: 13
make: Topic: 75, Keyword number: 14
phoenix: Topic: 75, Keyword number: 15
cinque: Topic: 75, Keyword number: 16
well: Topic: 75, Keyword number: 17
later: Topic: 75, Keyword number: 18
since: Topic: 75, Keyword number: 19
along: Topic: 75, Keyword number: 20
robbie: Topic: 75, Keyword number: 21
roman: Topic: 75, Keyword number: 22
nigel: Topic: 75, Keyword number: 23
hounsou: Topic: 75, Keyword number: 24
comedy: Topic: 76, Keyword number: 0
actually: Topic: 76, Keyword number: 1
see: Topic: 76, Keyword number: 2
don't: Topic: 76, Keyword number: 3
isn't: Topic: 76, Keyword number: 4
take: Topic: 76, Keyword number: 5
one: Topic: 76, Keyword number: 6
sex: Topic: 76, Keyword number: 7
funny: Topic: 76, Keyword number: 8
think: Topic: 76, Keyword number: 9
though: Topic: 76, Keyword number: 10
quite: Topic: 76, Keyword number: 11
seen: Topic: 76, Keyword number: 12
makes: Topic: 76, Keyword number: 13
film: Topic: 76, Keyword number: 14
still: Topic: 76, Keyword number: 15
watch: Topic: 76, Keyword number: 16
rock: Topic: 76, Keyword number: 17
it's: Topic: 76, Keyword number: 18
laughs: Topic: 76, Keyword number: 19
angry: Topic: 76, Keyword number: 20
even: Topic: 76, Keyword number: 21
right: Topic: 76, Keyword number: 22
much: Topic: 76, Keyword number: 23
want: Topic: 76, Keyword number: 24
commentary: Topic: 77, Keyword number: 0
whose: Topic: 77, Keyword number: 1
television: Topic: 77, Keyword number: 2
baby: Topic: 77, Keyword number: 3
party: Topic: 77, Keyword number: 4
mummy: Topic: 77, Keyword number: 5
form: Topic: 77, Keyword number: 6
everything: Topic: 77, Keyword number: 7
spencer: Topic: 77, Keyword number: 8
original: Topic: 77, Keyword number: 9
ray: Topic: 77, Keyword number: 10
henry: Topic: 77, Keyword number: 11
ones: Topic: 77, Keyword number: 12
doctor: Topic: 77, Keyword number: 13
played: Topic: 77, Keyword number: 14
shows: Topic: 77, Keyword number: 15
hrundi: Topic: 77, Keyword number: 16
classic: Topic: 77, Keyword number: 17
jerry: Topic: 77, Keyword number: 18
kid: Topic: 77, Keyword number: 19
type: Topic: 77, Keyword number: 20
anyone: Topic: 77, Keyword number: 21
dumb: Topic: 77, Keyword number: 22
computer: Topic: 77, Keyword number: 23
dvd: Topic: 77, Keyword number: 24
story: Topic: 78, Keyword number: 0
movie: Topic: 78, Keyword number: 1
characters: Topic: 78, Keyword number: 2
one: Topic: 78, Keyword number: 3
two: Topic: 78, Keyword number: 4
sense: Topic: 78, Keyword number: 5
people: Topic: 78, Keyword number: 6
also: Topic: 78, Keyword number: 7
family: Topic: 78, Keyword number: 8
hollywood: Topic: 78, Keyword number: 9
place: Topic: 78, Keyword number: 10
might: Topic: 78, Keyword number: 11
like: Topic: 78, Keyword number: 12
don't: Topic: 78, Keyword number: 13
well: Topic: 78, Keyword number: 14
audience: Topic: 78, Keyword number: 15
set: Topic: 78, Keyword number: 16
even: Topic: 78, Keyword number: 17
however: Topic: 78, Keyword number: 18
anything: Topic: 78, Keyword number: 19
wife: Topic: 78, Keyword number: 20
making: Topic: 78, Keyword number: 21
almost: Topic: 78, Keyword number: 22
old: Topic: 78, Keyword number: 23
world: Topic: 78, Keyword number: 24
film: Topic: 79, Keyword number: 0
fiction: Topic: 79, Keyword number: 1
pulp: Topic: 79, Keyword number: 2
ellie: Topic: 79, Keyword number: 3
take: Topic: 79, Keyword number: 4
pulp_fiction: Topic: 79, Keyword number: 5
robert: Topic: 79, Keyword number: 6
two: Topic: 79, Keyword number: 7
willis: Topic: 79, Keyword number: 8
grier: Topic: 79, Keyword number: 9
jackson: Topic: 79, Keyword number: 10
rather: Topic: 79, Keyword number: 11
films: Topic: 79, Keyword number: 12
quentin: Topic: 79, Keyword number: 13
although: Topic: 79, Keyword number: 14
drug: Topic: 79, Keyword number: 15
seems: Topic: 79, Keyword number: 16
new: Topic: 79, Keyword number: 17
impact: Topic: 79, Keyword number: 18
said: Topic: 79, Keyword number: 19
much: Topic: 79, Keyword number: 20
question: Topic: 79, Keyword number: 21
characters: Topic: 79, Keyword number: 22
small: Topic: 79, Keyword number: 23
even: Topic: 79, Keyword number: 24
movie: Topic: 80, Keyword number: 0
he's: Topic: 80, Keyword number: 1
way: Topic: 80, Keyword number: 2
never: Topic: 80, Keyword number: 3
life: Topic: 80, Keyword number: 4
know: Topic: 80, Keyword number: 5
big: Topic: 80, Keyword number: 6
good: Topic: 80, Keyword number: 7
going: Topic: 80, Keyword number: 8
seems: Topic: 80, Keyword number: 9
instead: Topic: 80, Keyword number: 10
everything: Topic: 80, Keyword number: 11
seen: Topic: 80, Keyword number: 12
person: Topic: 80, Keyword number: 13
come: Topic: 80, Keyword number: 14
one: Topic: 80, Keyword number: 15
work: Topic: 80, Keyword number: 16
comedy: Topic: 80, Keyword number: 17
made: Topic: 80, Keyword number: 18
story: Topic: 80, Keyword number: 19
many: Topic: 80, Keyword number: 20
fact: Topic: 80, Keyword number: 21
using: Topic: 80, Keyword number: 22
become: Topic: 80, Keyword number: 23
since: Topic: 80, Keyword number: 24
film: Topic: 81, Keyword number: 0
one: Topic: 81, Keyword number: 1
performance: Topic: 81, Keyword number: 2
character: Topic: 81, Keyword number: 3
role: Topic: 81, Keyword number: 4
best: Topic: 81, Keyword number: 5
characters: Topic: 81, Keyword number: 6
actor: Topic: 81, Keyword number: 7
man: Topic: 81, Keyword number: 8
time: Topic: 81, Keyword number: 9
makes: Topic: 81, Keyword number: 10
however: Topic: 81, Keyword number: 11
scene: Topic: 81, Keyword number: 12
he's: Topic: 81, Keyword number: 13
sight: Topic: 81, Keyword number: 14
it's: Topic: 81, Keyword number: 15
director: Topic: 81, Keyword number: 16
supporting: Topic: 81, Keyword number: 17
kevin: Topic: 81, Keyword number: 18
since: Topic: 81, Keyword number: 19
strong: Topic: 81, Keyword number: 20
acting: Topic: 81, Keyword number: 21
begins: Topic: 81, Keyword number: 22
actors: Topic: 81, Keyword number: 23
get: Topic: 81, Keyword number: 24
wife: Topic: 82, Keyword number: 0
scorsese: Topic: 82, Keyword number: 1
car: Topic: 82, Keyword number: 2
dead: Topic: 82, Keyword number: 3
perhaps: Topic: 82, Keyword number: 4
robert: Topic: 82, Keyword number: 5
get: Topic: 82, Keyword number: 6
armageddon: Topic: 82, Keyword number: 7
seven: Topic: 82, Keyword number: 8
would: Topic: 82, Keyword number: 9
driver: Topic: 82, Keyword number: 10
brother: Topic: 82, Keyword number: 11
easy: Topic: 82, Keyword number: 12
thanks: Topic: 82, Keyword number: 13
raging_bull: Topic: 82, Keyword number: 14
bulworth: Topic: 82, Keyword number: 15
portrayal: Topic: 82, Keyword number: 16
murder: Topic: 82, Keyword number: 17
work: Topic: 82, Keyword number: 18
reasons: Topic: 82, Keyword number: 19
writer: Topic: 82, Keyword number: 20
taken: Topic: 82, Keyword number: 21
minutes: Topic: 82, Keyword number: 22
attention: Topic: 82, Keyword number: 23
daisy: Topic: 82, Keyword number: 24
also: Topic: 83, Keyword number: 0
chris: Topic: 83, Keyword number: 1
work: Topic: 83, Keyword number: 2
beatty: Topic: 83, Keyword number: 3
political: Topic: 83, Keyword number: 4
life: Topic: 83, Keyword number: 5
well: Topic: 83, Keyword number: 6
place: Topic: 83, Keyword number: 7
art: Topic: 83, Keyword number: 8
making: Topic: 83, Keyword number: 9
death: Topic: 83, Keyword number: 10
annie: Topic: 83, Keyword number: 11
family: Topic: 83, Keyword number: 12
good: Topic: 83, Keyword number: 13
directed: Topic: 83, Keyword number: 14
takes: Topic: 83, Keyword number: 15
william: Topic: 83, Keyword number: 16
children: Topic: 83, Keyword number: 17
boy: Topic: 83, Keyword number: 18
cinema: Topic: 83, Keyword number: 19
age: Topic: 83, Keyword number: 20
miss: Topic: 83, Keyword number: 21
make: Topic: 83, Keyword number: 22
kids: Topic: 83, Keyword number: 23
fraser: Topic: 83, Keyword number: 24
one: Topic: 84, Keyword number: 0
way: Topic: 84, Keyword number: 1
director: Topic: 84, Keyword number: 2
men: Topic: 84, Keyword number: 3
would: Topic: 84, Keyword number: 4
perhaps: Topic: 84, Keyword number: 5
lucas: Topic: 84, Keyword number: 6
character: Topic: 84, Keyword number: 7
group: Topic: 84, Keyword number: 8
especially: Topic: 84, Keyword number: 9
something: Topic: 84, Keyword number: 10
must: Topic: 84, Keyword number: 11
say: Topic: 84, Keyword number: 12
edge: Topic: 84, Keyword number: 13
suspense: Topic: 84, Keyword number: 14
going: Topic: 84, Keyword number: 15
scenes: Topic: 84, Keyword number: 16
creating: Topic: 84, Keyword number: 17
everything: Topic: 84, Keyword number: 18
far: Topic: 84, Keyword number: 19
sequence: Topic: 84, Keyword number: 20
marriage: Topic: 84, Keyword number: 21
characters: Topic: 84, Keyword number: 22
point: Topic: 84, Keyword number: 23
never: Topic: 84, Keyword number: 24
movie: Topic: 85, Keyword number: 0
film: Topic: 85, Keyword number: 1
new: Topic: 85, Keyword number: 2
one: Topic: 85, Keyword number: 3
much: Topic: 85, Keyword number: 4
love: Topic: 85, Keyword number: 5
last: Topic: 85, Keyword number: 6
still: Topic: 85, Keyword number: 7
american: Topic: 85, Keyword number: 8
way: Topic: 85, Keyword number: 9
make: Topic: 85, Keyword number: 10
movies: Topic: 85, Keyword number: 11
also: Topic: 85, Keyword number: 12
bob: Topic: 85, Keyword number: 13
like: Topic: 85, Keyword number: 14
jay: Topic: 85, Keyword number: 15
book: Topic: 85, Keyword number: 16
many: Topic: 85, Keyword number: 17
smith: Topic: 85, Keyword number: 18
york: Topic: 85, Keyword number: 19
best: Topic: 85, Keyword number: 20
humor: Topic: 85, Keyword number: 21
two: Topic: 85, Keyword number: 22
right: Topic: 85, Keyword number: 23
comedy: Topic: 85, Keyword number: 24
film: Topic: 86, Keyword number: 0
one: Topic: 86, Keyword number: 1
like: Topic: 86, Keyword number: 2
movie: Topic: 86, Keyword number: 3
really: Topic: 86, Keyword number: 4
character: Topic: 86, Keyword number: 5
good: Topic: 86, Keyword number: 6
would: Topic: 86, Keyword number: 7
people: Topic: 86, Keyword number: 8
even: Topic: 86, Keyword number: 9
it's: Topic: 86, Keyword number: 10
two: Topic: 86, Keyword number: 11
life: Topic: 86, Keyword number: 12
great: Topic: 86, Keyword number: 13
characters: Topic: 86, Keyword number: 14
well: Topic: 86, Keyword number: 15
way: Topic: 86, Keyword number: 16
performance: Topic: 86, Keyword number: 17
scenes: Topic: 86, Keyword number: 18
still: Topic: 86, Keyword number: 19
seen: Topic: 86, Keyword number: 20
best: Topic: 86, Keyword number: 21
many: Topic: 86, Keyword number: 22
love: Topic: 86, Keyword number: 23
isn't: Topic: 86, Keyword number: 24
film: Topic: 87, Keyword number: 0
dark: Topic: 87, Keyword number: 1
city: Topic: 87, Keyword number: 2
alien: Topic: 87, Keyword number: 3
story: Topic: 87, Keyword number: 4
world: Topic: 87, Keyword number: 5
much: Topic: 87, Keyword number: 6
movies: Topic: 87, Keyword number: 7
plot: Topic: 87, Keyword number: 8
it's: Topic: 87, Keyword number: 9
look: Topic: 87, Keyword number: 10
come: Topic: 87, Keyword number: 11
many: Topic: 87, Keyword number: 12
killer: Topic: 87, Keyword number: 13
one: Topic: 87, Keyword number: 14
scenes: Topic: 87, Keyword number: 15
batman: Topic: 87, Keyword number: 16
aliens: Topic: 87, Keyword number: 17
dead: Topic: 87, Keyword number: 18
john: Topic: 87, Keyword number: 19
real: Topic: 87, Keyword number: 20
species: Topic: 87, Keyword number: 21
dark_city: Topic: 87, Keyword number: 22
man: Topic: 87, Keyword number: 23
like: Topic: 87, Keyword number: 24
movie: Topic: 88, Keyword number: 0
star: Topic: 88, Keyword number: 1
effects: Topic: 88, Keyword number: 2
time: Topic: 88, Keyword number: 3
movies: Topic: 88, Keyword number: 4
know: Topic: 88, Keyword number: 5
series: Topic: 88, Keyword number: 6
many: Topic: 88, Keyword number: 7
menace: Topic: 88, Keyword number: 8
films: Topic: 88, Keyword number: 9
phantom: Topic: 88, Keyword number: 10
