crew: Topic: 0, Keyword number: 0
rob_schneider: Topic: 767, Keyword number: 6
mild: Topic: 767, Keyword number: 7
classic: Topic: 767, Keyword number: 8
minister: Topic: 767, Keyword number: 9
sexual_content: Topic: 767, Keyword number: 10
dot-com: Topic: 767, Keyword number: 11
com: Topic: 767, Keyword number: 12
good-natured: Topic: 767, Keyword number: 13
there's_something: Topic: 767, Keyword number: 14
focuses: Topic: 767, Keyword number: 15
wonders: Topic: 767, Keyword number: 16
may: Topic: 767, Keyword number: 17
bareikis: Topic: 767, Keyword number: 18
arija: Topic: 767, Keyword number: 19
oded_fehr: Topic: 767, Keyword number: 20
fehr: Topic: 767, Keyword number: 21
film's_director: Topic: 767, Keyword number: 22
porn: Topic: 767, Keyword number: 23
comedy_may: Topic: 767, Keyword number: 24
affleck_usually: Topic: 768, Keyword number: 0
file_cabinet: Topic: 769, Keyword number: 0
thing_boost: Topic: 769, Keyword number: 1
distinctively_low-tech: Topic: 769, Keyword number: 2
uttered_auteurs: Topic: 769, Keyword number: 3
manner_toilet: Topic: 769, Keyword number: 4
musical_unforgettable: Topic: 769, Keyword number: 5
park_also: Topic: 769, Keyword number: 6
deepest_bowels: Topic: 769, Keyword number: 7
leaves_conservative: Topic: 769, Keyword number: 8
words_featuring: Topic: 769, Keyword number: 9
adopts_group: Topic: 769, Keyword number: 10
bus_skids: Topic: 769, Keyword number: 11
savoring: Topic: 769, Keyword number: 12
mis: Topic: 769, Keyword number: 13
keaton_underplays: Topic: 770, Keyword number: 0
garcia_working: Topic: 770, Keyword number: 1
croc_try: Topic: 770, Keyword number: 2
status: Topic: 770, Keyword number: 3
appear_cruel: Topic: 771, Keyword number: 0
sentence_primary: Topic: 771, Keyword number: 1
remake_haunting: Topic: 771, Keyword number: 2
although_least: Topic: 771, Keyword number: 3
abby_frances: Topic: 771, Keyword number: 4
director_successful: Topic: 771, Keyword number: 5
numerous_people: Topic: 771, Keyword number: 6
thrown_towards: Topic: 771, Keyword number: 7
actor_film: Topic: 771, Keyword number: 8
attitudes_brief: Topic: 771, Keyword number: 9
typical_broadway: Topic: 771, Keyword number: 10
erroneous_also: Topic: 771, Keyword number: 11
aimee: Topic: 771, Keyword number: 12
classes_races: Topic: 771, Keyword number: 13
yet_surprisingly: Topic: 771, Keyword number: 14
deliver_even: Topic: 771, Keyword number: 15
anderson_boogie: Topic: 771, Keyword number: 16
kind_pain: Topic: 771, Keyword number: 17
characters_introduced: Topic: 771, Keyword number: 18
suggests_dozens: Topic: 771, Keyword number: 19
humiliated: Topic: 771, Keyword number: 20
mountain: Topic: 771, Keyword number: 21
connecting: Topic: 771, Keyword number: 22
film_worth: Topic: 771, Keyword number: 23
four_star: Topic: 771, Keyword number: 24
dream_team: Topic: 772, Keyword number: 0
truly: Topic: 772, Keyword number: 1
artist_neighbor: Topic: 772, Keyword number: 2
compulsive: Topic: 772, Keyword number: 3
manhattan: Topic: 772, Keyword number: 4
cynical: Topic: 772, Keyword number: 5
greg: Topic: 772, Keyword number: 6
henry: Topic: 772, Keyword number: 7
trio: Topic: 772, Keyword number: 8
bucketsful_nominees: Topic: 772, Keyword number: 9
little_it's: Topic: 772, Keyword number: 10
matching: Topic: 772, Keyword number: 11
second_realize: Topic: 772, Keyword number: 12
even_opens: Topic: 772, Keyword number: 13
attempts_nice: Topic: 772, Keyword number: 14
you'd_rarely: Topic: 772, Keyword number: 15
friends_disappear: Topic: 772, Keyword number: 16
hiding_behind: Topic: 772, Keyword number: 17
home_reluctantly: Topic: 772, Keyword number: 18
upset_melvin: Topic: 772, Keyword number: 19
attacked_robbery: Topic: 772, Keyword number: 20
tiles_very_small: Topic: 772, Keyword number: 21
afterwards_could: Topic: 772, Keyword number: 22
sings_drinking: Topic: 772, Keyword number: 23
kotter: Topic: 772, Keyword number: 24
boy_boy: Topic: 773, Keyword number: 0
wahlberg_new: Topic: 773, Keyword number: 1
mark_funky: Topic: 773, Keyword number: 2
got_ged: Topic: 773, Keyword number: 3
dropped_highschool: Topic: 773, Keyword number: 4
acclaimed_glengarry: Topic: 773, Keyword number: 5
another_firm: Topic: 773, Keyword number: 6
usual_let: Topic: 773, Keyword number: 7
add_taco: Topic: 773, Keyword number: 8
daughter_good: Topic: 773, Keyword number: 9
coolest_lines: Topic: 773, Keyword number: 10
completely_captured: Topic: 773, Keyword number: 11
wahlberg_boogie: Topic: 773, Keyword number: 12
premise_world: Topic: 773, Keyword number: 13
well_ever: Topic: 773, Keyword number: 14
critique_ever: Topic: 773, Keyword number: 15
crazy_boy: Topic: 773, Keyword number: 16
likes_boy: Topic: 773, Keyword number: 17
thespian-at-large_mighty: Topic: 773, Keyword number: 18
vibrations_calvin: Topic: 773, Keyword number: 19
migration: Topic: 773, Keyword number: 20
life_goes: Topic: 773, Keyword number: 21
finally_decided: Topic: 773, Keyword number: 22
mighty: Topic: 773, Keyword number: 23
pretty_quickly: Topic: 773, Keyword number: 24
shown_astonishing: Topic: 775, Keyword number: 0
streets_ireland: Topic: 775, Keyword number: 1
better_second: Topic: 775, Keyword number: 2
film_body: Topic: 775, Keyword number: 3
whitaker: Topic: 777, Keyword number: 0
kingsley: Topic: 777, Keyword number: 1
marg: Topic: 777, Keyword number: 2
ben_kingsley: Topic: 777, Keyword number: 3
dna: Topic: 777, Keyword number: 4
henstridge: Topic: 777, Keyword number: 5
molina: Topic: 777, Keyword number: 6
andromeda: Topic: 777, Keyword number: 7
whitaker_alfred: Topic: 777, Keyword number: 8
bbc_contracted: Topic: 777, Keyword number: 9
inhuman: Topic: 777, Keyword number: 10
transmission: Topic: 777, Keyword number: 11
forest_whitaker: Topic: 777, Keyword number: 12
madsen: Topic: 777, Keyword number: 13
explore: Topic: 777, Keyword number: 14
receiving: Topic: 777, Keyword number: 15
julie_christie: Topic: 777, Keyword number: 16
christie: Topic: 777, Keyword number: 17
julie: Topic: 777, Keyword number: 18
alien: Topic: 777, Keyword number: 19
separating_henstridge: Topic: 777, Keyword number: 20
predecessor_also: Topic: 777, Keyword number: 21
loop_okay: Topic: 777, Keyword number: 22
revelations_mentions: Topic: 777, Keyword number: 23
schroeder_over-simplifies: Topic: 777, Keyword number: 24
certain_bits: Topic: 778, Keyword number: 0
claimed: Topic: 778, Keyword number: 1
ago_first: Topic: 778, Keyword number: 2
general_lack: Topic: 778, Keyword number: 3
immediate_liking: Topic: 778, Keyword number: 4
bobby_garfield: Topic: 778, Keyword number: 5
emira: Topic: 779, Keyword number: 0
harrelson: Topic: 779, Keyword number: 1
welcome_sarajevo: Topic: 779, Keyword number: 2
atom_egoyan's: Topic: 779, Keyword number: 3
devastation: Topic: 779, Keyword number: 4
thousands_miles: Topic: 779, Keyword number: 5
place_earth: Topic: 779, Keyword number: 6
thousands: Topic: 779, Keyword number: 7
children's: Topic: 779, Keyword number: 8
purity_common: Topic: 779, Keyword number: 9
delicacy_sees: Topic: 779, Keyword number: 10
delicacy: Topic: 779, Keyword number: 11
interweaves_time: Topic: 779, Keyword number: 12
surging_worldwide: Topic: 779, Keyword number: 13
independent_cinema: Topic: 779, Keyword number: 14
though_atom: Topic: 779, Keyword number: 15
love_sweet: Topic: 779, Keyword number: 16
feel_wordless: Topic: 779, Keyword number: 17
waves_women: Topic: 779, Keyword number: 18
watson_oscar: Topic: 779, Keyword number: 19
concealed_pain: Topic: 779, Keyword number: 20
convey_concealed: Topic: 779, Keyword number: 21
loss_innocence: Topic: 779, Keyword number: 22
takes_loss: Topic: 779, Keyword number: 23
breathtaking_takes: Topic: 779, Keyword number: 24
chronicle: Topic: 780, Keyword number: 0
sitting_hard: Topic: 780, Keyword number: 1
prom_queen: Topic: 780, Keyword number: 2
shone_ever: Topic: 780, Keyword number: 3
tit: Topic: 780, Keyword number: 4
kissed_rare: Topic: 780, Keyword number: 5
pollack_served: Topic: 780, Keyword number: 6
control_choice: Topic: 780, Keyword number: 7
made_arrangements: Topic: 780, Keyword number: 8
pregnant_fifth: Topic: 780, Keyword number: 9
it's_flaw: Topic: 780, Keyword number: 10
reassuring: Topic: 780, Keyword number: 11
mystery_solve: Topic: 780, Keyword number: 12
trying_scoop: Topic: 780, Keyword number: 13
cub: Topic: 780, Keyword number: 14
plot_war: Topic: 780, Keyword number: 15
reporter: Topic: 780, Keyword number: 16
control: Topic: 780, Keyword number: 17
high: Topic: 780, Keyword number: 18
called: Topic: 780, Keyword number: 19
film: Topic: 781, Keyword number: 0
good: Topic: 781, Keyword number: 1
family: Topic: 781, Keyword number: 2
see: Topic: 781, Keyword number: 3
story: Topic: 781, Keyword number: 4
get: Topic: 781, Keyword number: 5
funny: Topic: 781, Keyword number: 6
back: Topic: 781, Keyword number: 7
rather: Topic: 781, Keyword number: 8
script: Topic: 781, Keyword number: 9
he's: Topic: 781, Keyword number: 10
little: Topic: 781, Keyword number: 11
boy: Topic: 781, Keyword number: 12
don't: Topic: 781, Keyword number: 13
really: Topic: 781, Keyword number: 14
bad: Topic: 781, Keyword number: 15
that's: Topic: 781, Keyword number: 16
one: Topic: 781, Keyword number: 17
though: Topic: 781, Keyword number: 18
can't: Topic: 781, Keyword number: 19
mother: Topic: 781, Keyword number: 20
dialogue: Topic: 781, Keyword number: 21
especially: Topic: 781, Keyword number: 22
two: Topic: 781, Keyword number: 23
also: Topic: 781, Keyword number: 24
reality: Topic: 782, Keyword number: 0
calvin: Topic: 782, Keyword number: 1
real_world: Topic: 782, Keyword number: 2
leading: Topic: 782, Keyword number: 3
science_fiction: Topic: 782, Keyword number: 4
matrix: Topic: 782, Keyword number: 5
violent_gory: Topic: 782, Keyword number: 6
madness: Topic: 782, Keyword number: 7
creatures: Topic: 782, Keyword number: 8
failure: Topic: 782, Keyword number: 9
exist: Topic: 782, Keyword number: 10
singer_marky: Topic: 782, Keyword number: 11
ged_convicted: Topic: 782, Keyword number: 12
glengarry_glenross: Topic: 782, Keyword number: 13
glenross: Topic: 782, Keyword number: 14
facts_director: Topic: 782, Keyword number: 15
nacho_fiesta: Topic: 782, Keyword number: 16
tell_reese: Topic: 782, Keyword number: 17
contrived_part: Topic: 782, Keyword number: 18
movie_awards: Topic: 782, Keyword number: 19
solid_nomination: Topic: 782, Keyword number: 20
worked_groundbreaking: Topic: 782, Keyword number: 21
girl_steps: Topic: 782, Keyword number: 22
parents_girl: Topic: 782, Keyword number: 23
girl_begin: Topic: 782, Keyword number: 24
story_london: Topic: 783, Keyword number: 0
engaging_love: Topic: 783, Keyword number: 1
good_sean: Topic: 783, Keyword number: 2
situation_sonny's: Topic: 783, Keyword number: 3
thankfully_every: Topic: 783, Keyword number: 4
lost_martin: Topic: 783, Keyword number: 5
fragile_woman: Topic: 783, Keyword number: 6
sacrifice_bigotry: Topic: 783, Keyword number: 7
appliances: Topic: 783, Keyword number: 8
complete_opposite: Topic: 783, Keyword number: 9
professor: Topic: 783, Keyword number: 10
second_act: Topic: 783, Keyword number: 11
one: Topic: 784, Keyword number: 0
first: Topic: 784, Keyword number: 1
still: Topic: 784, Keyword number: 2
little: Topic: 784, Keyword number: 3
best: Topic: 784, Keyword number: 4
like: Topic: 784, Keyword number: 5
also: Topic: 784, Keyword number: 6
it's: Topic: 784, Keyword number: 7
well: Topic: 784, Keyword number: 8
get: Topic: 784, Keyword number: 9
way: Topic: 784, Keyword number: 10
cast: Topic: 784, Keyword number: 11
big: Topic: 784, Keyword number: 12
would: Topic: 784, Keyword number: 13
king: Topic: 784, Keyword number: 14
wife: Topic: 784, Keyword number: 15
american: Topic: 784, Keyword number: 16
political: Topic: 784, Keyword number: 17
though: Topic: 784, Keyword number: 18
much: Topic: 784, Keyword number: 19
long: Topic: 784, Keyword number: 20
become: Topic: 784, Keyword number: 21
many: Topic: 784, Keyword number: 22
see: Topic: 784, Keyword number: 23
back: Topic: 784, Keyword number: 24
hurricane: Topic: 785, Keyword number: 0
canadians: Topic: 785, Keyword number: 1
lesra: Topic: 785, Keyword number: 2
washington's: Topic: 785, Keyword number: 3
accurate: Topic: 785, Keyword number: 4
hopkins: Topic: 785, Keyword number: 5
pivotal_relationship: Topic: 785, Keyword number: 6
stories_adapted: Topic: 785, Keyword number: 7
timing_everything: Topic: 785, Keyword number: 8
one_washington: Topic: 785, Keyword number: 9
like_work: Topic: 785, Keyword number: 10
schmaltzy_predictable: Topic: 785, Keyword number: 11
hurricane_highly: Topic: 785, Keyword number: 12
don't_remove: Topic: 785, Keyword number: 13
partially_even: Topic: 785, Keyword number: 14
fable_digressions: Topic: 785, Keyword number: 15
course_hurricane: Topic: 785, Keyword number: 16
really_explained: Topic: 785, Keyword number: 17
criminal_past: Topic: 785, Keyword number: 18
accounts_fight: Topic: 785, Keyword number: 19
carter_pummeling: Topic: 785, Keyword number: 20
gives_boxing: Topic: 785, Keyword number: 21
hurricane_takes: Topic: 785, Keyword number: 22
lens_criticism: Topic: 785, Keyword number: 23
crusaders_looking: Topic: 785, Keyword number: 24
something_middle: Topic: 786, Keyword number: 0
pure_voices: Topic: 786, Keyword number: 1
distinguishing_one: Topic: 786, Keyword number: 2
story's_neo-feminist: Topic: 786, Keyword number: 3
trailed_jive-talking: Topic: 786, Keyword number: 4
slightly_awry: Topic: 786, Keyword number: 5
traditional_mainstays: Topic: 786, Keyword number: 6
hokey_live: Topic: 786, Keyword number: 7
done_tidy: Topic: 786, Keyword number: 8
messier: Topic: 786, Keyword number: 9
respects_mulan: Topic: 786, Keyword number: 10
stanton_rita: Topic: 786, Keyword number: 11
bros_animation: Topic: 786, Keyword number: 12
gang_warner: Topic: 786, Keyword number: 13
life_kids: Topic: 786, Keyword number: 14
lesser_degree: Topic: 786, Keyword number: 15
grows_discards: Topic: 786, Keyword number: 16
see_protagonists: Topic: 786, Keyword number: 17
show_originated: Topic: 786, Keyword number: 18
favorite_toy: Topic: 786, Keyword number: 19
collectible: Topic: 786, Keyword number: 20
screed_retention: Topic: 786, Keyword number: 21
crystallized_andy's: Topic: 786, Keyword number: 22
often_forgotten: Topic: 786, Keyword number: 23
apart_revealing: Topic: 786, Keyword number: 24
surprised_rigorous: Topic: 787, Keyword number: 0
pleasure_part: Topic: 787, Keyword number: 1
engrosses_viewer: Topic: 787, Keyword number: 2
around_intriguing: Topic: 787, Keyword number: 3
boyfriend_manni: Topic: 787, Keyword number: 4
productions_made: Topic: 787, Keyword number: 5
rumble_bronx's: Topic: 787, Keyword number: 6
nice_guy's: Topic: 787, Keyword number: 7
artist_skills: Topic: 787, Keyword number: 8
films_highly: Topic: 787, Keyword number: 9
tirelessly_follow: Topic: 787, Keyword number: 10
actors_jackie: Topic: 787, Keyword number: 11
hire_recognizable: Topic: 787, Keyword number: 12
azazel: Topic: 788, Keyword number: 0
dillane: Topic: 788, Keyword number: 1
releases: Topic: 788, Keyword number: 2
jedi: Topic: 788, Keyword number: 3
continue: Topic: 788, Keyword number: 4
frog: Topic: 788, Keyword number: 5
donald_sutherland: Topic: 788, Keyword number: 6
davidtz: Topic: 788, Keyword number: 7
portrays_character: Topic: 788, Keyword number: 8
alternate_reality: Topic: 788, Keyword number: 9
creeps: Topic: 788, Keyword number: 10
alliance: Topic: 788, Keyword number: 11
lion's_share: Topic: 788, Keyword number: 12
cgi: Topic: 788, Keyword number: 13
make_hollywood: Topic: 788, Keyword number: 14
continues: Topic: 788, Keyword number: 15
excitement: Topic: 788, Keyword number: 16
appear: Topic: 788, Keyword number: 17
potential: Topic: 788, Keyword number: 18
big: Topic: 788, Keyword number: 19
days: Topic: 788, Keyword number: 20
much_intense: Topic: 788, Keyword number: 21
williams_added: Topic: 788, Keyword number: 22
zestful_jaws: Topic: 788, Keyword number: 23
epic_schindler's: Topic: 788, Keyword number: 24
sir_roger: Topic: 789, Keyword number: 0
sims: Topic: 789, Keyword number: 1
trying_bribe: Topic: 789, Keyword number: 2
terry_scott: Topic: 789, Keyword number: 3
bribe: Topic: 789, Keyword number: 4
kenneth: Topic: 789, Keyword number: 5
sid_james: Topic: 789, Keyword number: 6
streak_script: Topic: 789, Keyword number: 7
films_inventive: Topic: 789, Keyword number: 8
carry-on_team: Topic: 789, Keyword number: 9
it's_downsides: Topic: 789, Keyword number: 10
vader_film: Topic: 789, Keyword number: 11
code_man: Topic: 789, Keyword number: 12
became_green: Topic: 789, Keyword number: 13
cameos_kenneth: Topic: 789, Keyword number: 14
role_cardinal: Topic: 789, Keyword number: 15
marie_terry: Topic: 789, Keyword number: 16
henry_joan: Topic: 789, Keyword number: 17
performances_sid: Topic: 789, Keyword number: 18
renewed_threats: Topic: 789, Keyword number: 19
sometimes_isn't: Topic: 789, Keyword number: 20
owing_circumstances: Topic: 789, Keyword number: 21
devices_owing: Topic: 789, Keyword number: 22
torture_devices: Topic: 789, Keyword number: 23
signed_confession: Topic: 789, Keyword number: 24
suggest_invest: Topic: 790, Keyword number: 0
keitel_help: Topic: 790, Keyword number: 1
god_among: Topic: 790, Keyword number: 2
results_infamous: Topic: 790, Keyword number: 3
episodes_eventually: Topic: 790, Keyword number: 4
fiction_original: Topic: 790, Keyword number: 5
criticized: Topic: 790, Keyword number: 6
mulan: Topic: 791, Keyword number: 0
events_helmer: Topic: 791, Keyword number: 1
tale_nature: Topic: 791, Keyword number: 2
overcame_even: Topic: 791, Keyword number: 3
frigid_southern: Topic: 791, Keyword number: 4
ordeal_plods: Topic: 791, Keyword number: 5
incredible_journey: Topic: 791, Keyword number: 6
remaining_film: Topic: 791, Keyword number: 7
conditions_face: Topic: 791, Keyword number: 8
miles_hours: Topic: 791, Keyword number: 9
land_days: Topic: 791, Keyword number: 10
ice_bringing: Topic: 791, Keyword number: 11
remarkable_story: Topic: 791, Keyword number: 12
continent_foot: Topic: 791, Keyword number: 13
like_robbie: Topic: 791, Keyword number: 14
trek_devotees: Topic: 791, Keyword number: 15
goods_even: Topic: 791, Keyword number: 16
helping_matters: Topic: 791, Keyword number: 17
moore_half: Topic: 791, Keyword number: 18
directors_eric: Topic: 791, Keyword number: 19
antz_probably: Topic: 791, Keyword number: 20
child_family: Topic: 791, Keyword number: 21
join_rest: Topic: 791, Keyword number: 22
competing: Topic: 791, Keyword number: 23
ahead_time: Topic: 791, Keyword number: 24
could_bit: Topic: 792, Keyword number: 0
instead_bore: Topic: 792, Keyword number: 1
necessarily_copy: Topic: 792, Keyword number: 2
knowledge_sports: Topic: 792, Keyword number: 3
better_new: Topic: 792, Keyword number: 4
manipulate_things: Topic: 792, Keyword number: 5
somewhere_second: Topic: 792, Keyword number: 6
retread_original: Topic: 792, Keyword number: 7
top_viewing: Topic: 792, Keyword number: 8
enjoy_fallacy: Topic: 792, Keyword number: 9
could_used: Topic: 792, Keyword number: 10
kind_way: Topic: 792, Keyword number: 11
grant: Topic: 792, Keyword number: 12
art-imitates-life: Topic: 793, Keyword number: 0
brandi: Topic: 793, Keyword number: 1
whose_cleavage: Topic: 793, Keyword number: 2
good-looker: Topic: 793, Keyword number: 3
buddy/weight-lifter: Topic: 793, Keyword number: 4
years_graduate: Topic: 793, Keyword number: 5
ross_changed: Topic: 793, Keyword number: 6
ceremony_will's: Topic: 793, Keyword number: 7
blondes: Topic: 793, Keyword number: 8
that's_approximate: Topic: 793, Keyword number: 9
forest_gump: Topic: 793, Keyword number: 10
alive_nostalgic: Topic: 793, Keyword number: 11
patrick_hernandez's: Topic: 793, Keyword number: 12
slap-stick_dancing: Topic: 793, Keyword number: 13
enhancing_financial: Topic: 793, Keyword number: 14
van_rear-ended: Topic: 793, Keyword number: 15
rear-ended: Topic: 793, Keyword number: 16
time_brothers: Topic: 793, Keyword number: 17
going_problem: Topic: 793, Keyword number: 18
clips_past: Topic: 793, Keyword number: 19
work_take: Topic: 793, Keyword number: 20
exactly_one: Topic: 793, Keyword number: 21
isn't_exactly: Topic: 793, Keyword number: 22
stars_like: Topic: 793, Keyword number: 23
camille: Topic: 795, Keyword number: 0
music: Topic: 795, Keyword number: 1
emotions: Topic: 795, Keyword number: 2
glenn_close: Topic: 795, Keyword number: 3
denver: Topic: 795, Keyword number: 4
emmanuelle: Topic: 795, Keyword number: 5
portion: Topic: 795, Keyword number: 6
vincent_ward: Topic: 795, Keyword number: 7
column: Topic: 795, Keyword number: 8
attitude_towards: Topic: 795, Keyword number: 9
method: Topic: 795, Keyword number: 10
french: Topic: 795, Keyword number: 11
baby: Topic: 795, Keyword number: 12
nervous: Topic: 795, Keyword number: 13
theater_felt: Topic: 795, Keyword number: 14
babe_wife: Topic: 795, Keyword number: 15
apartment_big: Topic: 795, Keyword number: 16
life_jeff: Topic: 795, Keyword number: 17
cast_even: Topic: 795, Keyword number: 18
drama_gingerbread: Topic: 795, Keyword number: 19
loved_light: Topic: 795, Keyword number: 20
movie_loved: Topic: 795, Keyword number: 21
thespian_charles: Topic: 795, Keyword number: 22
essential_role: Topic: 795, Keyword number: 23
equally_essential: Topic: 795, Keyword number: 24
patric: Topic: 796, Keyword number: 0
brick_top: Topic: 796, Keyword number: 1
friends_neighbors: Topic: 796, Keyword number: 2
jason_patric: Topic: 796, Keyword number: 3
labute's: Topic: 796, Keyword number: 4
eckhart: Topic: 796, Keyword number: 5
labute: Topic: 796, Keyword number: 6
keener: Topic: 796, Keyword number: 7
jason: Topic: 796, Keyword number: 8
together: Topic: 796, Keyword number: 9
keener_aaron: Topic: 796, Keyword number: 10
catherine_keener: Topic: 796, Keyword number: 11
two_performances: Topic: 796, Keyword number: 12
one_important: Topic: 796, Keyword number: 13
underworld: Topic: 796, Keyword number: 14
gangster: Topic: 796, Keyword number: 15
begin: Topic: 796, Keyword number: 16
theater: Topic: 796, Keyword number: 17
willis_interesting: Topic: 796, Keyword number: 18
sends_killers: Topic: 796, Keyword number: 19
jackal_film: Topic: 796, Keyword number: 20
jugular_sap: Topic: 796, Keyword number: 21
wisely_exercises: Topic: 796, Keyword number: 22
rolle_good: Topic: 796, Keyword number: 23
color_hoke: Topic: 796, Keyword number: 24
present_riveting: Topic: 797, Keyword number: 0
bestial: Topic: 797, Keyword number: 1
story_ironically: Topic: 797, Keyword number: 2
coos: Topic: 797, Keyword number: 3
fun_entices: Topic: 797, Keyword number: 4
display_sense: Topic: 797, Keyword number: 5
mansell: Topic: 797, Keyword number: 6
sly_electronic: Topic: 797, Keyword number: 7
sequence_ably: Topic: 797, Keyword number: 8
immediately_dazzling: Topic: 797, Keyword number: 9
plain_focus: Topic: 797, Keyword number: 10
rapid_cuts: Topic: 797, Keyword number: 11
jittery_lensing: Topic: 797, Keyword number: 12
curiously_resemble: Topic: 797, Keyword number: 13
lumbering: Topic: 797, Keyword number: 14
protagonist's: Topic: 797, Keyword number: 15
wildly_succeeds: Topic: 797, Keyword number: 16
perspective_regard: Topic: 797, Keyword number: 17
body-themed: Topic: 797, Keyword number: 18
development_pill-popping: Topic: 797, Keyword number: 19
headache_scene: Topic: 797, Keyword number: 20
character_matter: Topic: 797, Keyword number: 21
duplictious: Topic: 797, Keyword number: 22
groups_want: Topic: 797, Keyword number: 23
edge_dementia: Topic: 797, Keyword number: 24
includes_instructions: Topic: 798, Keyword number: 0
quite_debt: Topic: 798, Keyword number: 1
contribute_making: Topic: 799, Keyword number: 0
climax_easily: Topic: 799, Keyword number: 1
involving_engrossing: Topic: 799, Keyword number: 2
despite_lingering: Topic: 799, Keyword number: 3
bates_geez: Topic: 799, Keyword number: 4
nothing_short: Topic: 799, Keyword number: 5
big_deal: Topic: 802, Keyword number: 0
twin_peaks: Topic: 802, Keyword number: 1
testing_waters: Topic: 802, Keyword number: 2
fame_also: Topic: 802, Keyword number: 3
new_kids: Topic: 802, Keyword number: 4
funky_bunch: Topic: 802, Keyword number: 5
later_got: Topic: 802, Keyword number: 6
highschool_later: Topic: 802, Keyword number: 7
massachusetts_dropped: Topic: 802, Keyword number: 8
directed_episode: Topic: 802, Keyword number: 9
glenross_back: Topic: 802, Keyword number: 10
schmoe_little: Topic: 802, Keyword number: 11
recommendation_joe: Topic: 802, Keyword number: 12
firm_recommendation: Topic: 802, Keyword number: 13
flaming_success: Topic: 802, Keyword number: 14
note_finally: Topic: 802, Keyword number: 15
gives_creeps: Topic: 802, Keyword number: 16
movie_wife: Topic: 802, Keyword number: 17
dearest_one: Topic: 802, Keyword number: 18
care_father/david: Topic: 802, Keyword number: 19
performance_alyssa: Topic: 802, Keyword number: 20
course_slutty: Topic: 802, Keyword number: 21
core_target: Topic: 802, Keyword number: 22
nomination_core: Topic: 802, Keyword number: 23
infamy_completely: Topic: 802, Keyword number: 24
branagh_davidzt: Topic: 803, Keyword number: 0
act_grisham's: Topic: 803, Keyword number: 1
would_routine: Topic: 803, Keyword number: 2
old-school_sexism: Topic: 803, Keyword number: 3
madeline_stowe: Topic: 803, Keyword number: 4
kellerman: Topic: 803, Keyword number: 5
altman_technique: Topic: 803, Keyword number: 6
audience_unwitting: Topic: 803, Keyword number: 7
importance_becomes: Topic: 803, Keyword number: 8
unfolds_magruder: Topic: 803, Keyword number: 9
downey_predicament: Topic: 803, Keyword number: 10
hospital_moment: Topic: 803, Keyword number: 11
decision_strip: Topic: 803, Keyword number: 12
magruder_offers: Topic: 803, Keyword number: 13
police_brutality: Topic: 803, Keyword number: 14
surprises_pay: Topic: 803, Keyword number: 15
grumbles: Topic: 803, Keyword number: 16
undulating_landscape: Topic: 803, Keyword number: 17
classic_altman: Topic: 803, Keyword number: 18
savannah_lawyer: Topic: 803, Keyword number: 19
unpublished: Topic: 803, Keyword number: 20
took_project: Topic: 803, Keyword number: 21
topping_best-seller: Topic: 803, Keyword number: 22
grisham_robert: Topic: 803, Keyword number: 23
dicaprio_winslet: Topic: 804, Keyword number: 0
take_major: Topic: 804, Keyword number: 1
flounder_jan: Topic: 804, Keyword number: 2
case_make: Topic: 804, Keyword number: 3
case_civil: Topic: 804, Keyword number: 4
office_draws: Topic: 804, Keyword number: 5
roles_actually: Topic: 804, Keyword number: 6
paranoid_greedy: Topic: 804, Keyword number: 7
john's_best: Topic: 804, Keyword number: 8
synonymous: Topic: 804, Keyword number: 9
image_put: Topic: 804, Keyword number: 10
rose's_overboard: Topic: 804, Keyword number: 11
flat_work: Topic: 804, Keyword number: 12
performances_principal: Topic: 804, Keyword number: 13
think_film: Topic: 804, Keyword number: 14
character_theresa: Topic: 804, Keyword number: 15
well_mostly: Topic: 804, Keyword number: 16
brad: Topic: 804, Keyword number: 17
nominee: Topic: 804, Keyword number: 18
lines_converge: Topic: 804, Keyword number: 19
comedy_coming: Topic: 804, Keyword number: 20
rented: Topic: 804, Keyword number: 21
nuclear: Topic: 805, Keyword number: 0
drama: Topic: 805, Keyword number: 1
takes: Topic: 805, Keyword number: 2
exciting: Topic: 805, Keyword number: 3
weapons: Topic: 805, Keyword number: 4
deep: Topic: 805, Keyword number: 5
kennedy: Topic: 805, Keyword number: 6
united: Topic: 805, Keyword number: 7
soviet: Topic: 805, Keyword number: 8
show: Topic: 805, Keyword number: 9
nuclear_weapons: Topic: 805, Keyword number: 10
bombers: Topic: 805, Keyword number: 11
deals: Topic: 805, Keyword number: 12
million: Topic: 805, Keyword number: 13
cold: Topic: 805, Keyword number: 14
station: Topic: 805, Keyword number: 15
orders: Topic: 805, Keyword number: 16
missile_crisis: Topic: 805, Keyword number: 17
staff: Topic: 805, Keyword number: 18
within: Topic: 805, Keyword number: 19
group: Topic: 805, Keyword number: 20
tension: Topic: 805, Keyword number: 21
becomes: Topic: 805, Keyword number: 22
truman's_world: Topic: 805, Keyword number: 23
white_house: Topic: 805, Keyword number: 24
bread_tulips: Topic: 806, Keyword number: 0
tulips: Topic: 806, Keyword number: 1
palmetto: Topic: 806, Keyword number: 2
silent_bob: Topic: 806, Keyword number: 3
strike: Topic: 806, Keyword number: 4
actors: Topic: 806, Keyword number: 5
including: Topic: 806, Keyword number: 6
waiter: Topic: 806, Keyword number: 7
