terrorist: Topic: 0, Keyword number: 0
private_ryan: Topic: 299, Keyword number: 6
private: Topic: 299, Keyword number: 7
saving_private: Topic: 299, Keyword number: 8
ryan: Topic: 299, Keyword number: 9
historical: Topic: 299, Keyword number: 10
win: Topic: 299, Keyword number: 11
anne_frank: Topic: 299, Keyword number: 12
glenn_close: Topic: 299, Keyword number: 13
koteas: Topic: 299, Keyword number: 14
anne: Topic: 299, Keyword number: 15
moral_quandary: Topic: 299, Keyword number: 16
toward_shore: Topic: 299, Keyword number: 17
knotts: Topic: 299, Keyword number: 18
coloreds: Topic: 299, Keyword number: 19
diary: Topic: 299, Keyword number: 20
win_war: Topic: 299, Keyword number: 21
want_win: Topic: 299, Keyword number: 22
exploding: Topic: 299, Keyword number: 23
repairman: Topic: 299, Keyword number: 24
marriage: Topic: 300, Keyword number: 0
doesn't_know: Topic: 300, Keyword number: 1
vine: Topic: 300, Keyword number: 2
benefit: Topic: 300, Keyword number: 3
ordered_another: Topic: 300, Keyword number: 4
beliefs_one: Topic: 300, Keyword number: 5
shock_actually: Topic: 300, Keyword number: 6
lives_hating: Topic: 300, Keyword number: 7
easily_dismissed: Topic: 300, Keyword number: 8
tension-building_intriguing: Topic: 300, Keyword number: 9
nosedive_eastwood: Topic: 300, Keyword number: 10
moments_restrained: Topic: 300, Keyword number: 11
duking: Topic: 300, Keyword number: 12
standard_action/suspense: Topic: 300, Keyword number: 13
jeter_doesn't: Topic: 300, Keyword number: 14
overheated_see: Topic: 300, Keyword number: 15
death-row: Topic: 300, Keyword number: 16
ugly_car: Topic: 300, Keyword number: 17
womanizer_many: Topic: 300, Keyword number: 18
eyes_furrows: Topic: 300, Keyword number: 19
gets_read: Topic: 300, Keyword number: 20
terrified_daughters: Topic: 300, Keyword number: 21
father_stand-out: Topic: 300, Keyword number: 22
whelmed: Topic: 300, Keyword number: 23
works_especially: Topic: 300, Keyword number: 24
jaws: Topic: 301, Keyword number: 0
contemporary: Topic: 301, Keyword number: 1
jillian: Topic: 301, Keyword number: 2
neary: Topic: 301, Keyword number: 3
close_encounters: Topic: 301, Keyword number: 4
jurassic_park: Topic: 301, Keyword number: 5
ufos: Topic: 301, Keyword number: 6
commercial_hit: Topic: 301, Keyword number: 7
like_jurassic: Topic: 301, Keyword number: 8
extraction: Topic: 301, Keyword number: 9
blue_sea: Topic: 301, Keyword number: 10
preacher: Topic: 301, Keyword number: 11
sea: Topic: 301, Keyword number: 12
international: Topic: 301, Keyword number: 13
richard_dreyfuss: Topic: 301, Keyword number: 14
also_isn't: Topic: 301, Keyword number: 15
much-welcome_change: Topic: 301, Keyword number: 16
gump_says: Topic: 301, Keyword number: 17
quite_adept: Topic: 301, Keyword number: 18
confined_scenes: Topic: 301, Keyword number: 19
zemeckis_comes: Topic: 301, Keyword number: 20
role_holds: Topic: 301, Keyword number: 21
actress's_dream: Topic: 301, Keyword number: 22
role_ellie: Topic: 301, Keyword number: 23
two_viable: Topic: 301, Keyword number: 24
princess: Topic: 302, Keyword number: 0
princess_caraboo: Topic: 302, Keyword number: 1
wedding_singer: Topic: 302, Keyword number: 2
robby: Topic: 302, Keyword number: 3
patient: Topic: 302, Keyword number: 4
period_piece: Topic: 302, Keyword number: 5
prestigious: Topic: 302, Keyword number: 6
day-lewis: Topic: 302, Keyword number: 7
tears: Topic: 302, Keyword number: 8
stephen_rea: Topic: 302, Keyword number: 9
rea: Topic: 302, Keyword number: 10
mean_streets: Topic: 302, Keyword number: 11
scorsese: Topic: 302, Keyword number: 12
countess_olenska: Topic: 302, Keyword number: 13
worralls: Topic: 302, Keyword number: 14
wendy_hughes: Topic: 302, Keyword number: 15
cates: Topic: 302, Keyword number: 16
also_takes: Topic: 302, Keyword number: 17
man_brought: Topic: 302, Keyword number: 18
quietly: Topic: 302, Keyword number: 19
practice: Topic: 302, Keyword number: 20
graves: Topic: 302, Keyword number: 21
matthew_glave: Topic: 302, Keyword number: 22
glenn_matthew: Topic: 302, Keyword number: 23
movie_funny: Topic: 302, Keyword number: 24
bond: Topic: 303, Keyword number: 0
brosnan: Topic: 303, Keyword number: 1
yeoh: Topic: 303, Keyword number: 2
michelle: Topic: 303, Keyword number: 3
action: Topic: 303, Keyword number: 4
tomorrow_never: Topic: 303, Keyword number: 5
never_dies: Topic: 303, Keyword number: 6
tomorrow: Topic: 303, Keyword number: 7
dies: Topic: 303, Keyword number: 8
james_bond: Topic: 303, Keyword number: 9
james: Topic: 303, Keyword number: 10
agent: Topic: 303, Keyword number: 11
carver: Topic: 303, Keyword number: 12
wai_lin: Topic: 303, Keyword number: 13
wai: Topic: 303, Keyword number: 14
lin: Topic: 303, Keyword number: 15
pryce: Topic: 303, Keyword number: 16
michelle_yeoh: Topic: 303, Keyword number: 17
jackie: Topic: 303, Keyword number: 18
gadgets: Topic: 303, Keyword number: 19
china: Topic: 303, Keyword number: 20
action_sequences: Topic: 303, Keyword number: 21
chinese: Topic: 303, Keyword number: 22
bond_movies: Topic: 303, Keyword number: 23
dalton: Topic: 303, Keyword number: 24
morris: Topic: 304, Keyword number: 0
urban: Topic: 304, Keyword number: 1
time_machine: Topic: 304, Keyword number: 2
errol: Topic: 304, Keyword number: 3
wells: Topic: 304, Keyword number: 4
scientist: Topic: 304, Keyword number: 5
cheap_control: Topic: 304, Keyword number: 6
fast_cheap: Topic: 304, Keyword number: 7
hand: Topic: 304, Keyword number: 8
morlocs: Topic: 304, Keyword number: 9
weena: Topic: 304, Keyword number: 10
victorian_scientist: Topic: 304, Keyword number: 11
george_pal: Topic: 304, Keyword number: 12
novel_became: Topic: 304, Keyword number: 13
invention: Topic: 304, Keyword number: 14
sampson: Topic: 304, Keyword number: 15
robert_richardson: Topic: 304, Keyword number: 16
schmeer_shondra: Topic: 304, Keyword number: 17
shondra: Topic: 304, Keyword number: 18
karen_schmeer: Topic: 304, Keyword number: 19
errol_morris: Topic: 304, Keyword number: 20
robot_scientist: Topic: 304, Keyword number: 21
snip: Topic: 304, Keyword number: 22
creations: Topic: 304, Keyword number: 23
didn't_suspect: Topic: 304, Keyword number: 24
science_fiction: Topic: 305, Keyword number: 0
science: Topic: 305, Keyword number: 1
fiction: Topic: 305, Keyword number: 2
planet: Topic: 305, Keyword number: 3
space: Topic: 305, Keyword number: 4
apes: Topic: 305, Keyword number: 5
human: Topic: 305, Keyword number: 6
planet_apes: Topic: 305, Keyword number: 7
humans: Topic: 305, Keyword number: 8
fiction_film: Topic: 305, Keyword number: 9
wars: Topic: 305, Keyword number: 10
tim: Topic: 305, Keyword number: 11
space_odyssey: Topic: 305, Keyword number: 12
result: Topic: 305, Keyword number: 13
despite: Topic: 305, Keyword number: 14
pilot: Topic: 305, Keyword number: 15
tim_burton: Topic: 305, Keyword number: 16
books: Topic: 305, Keyword number: 17
remembered: Topic: 305, Keyword number: 18
satellite: Topic: 305, Keyword number: 19
monkeys: Topic: 305, Keyword number: 20
mars: Topic: 305, Keyword number: 21
adventure: Topic: 305, Keyword number: 22
future: Topic: 305, Keyword number: 23
rid: Topic: 305, Keyword number: 24
larry_flynt: Topic: 306, Keyword number: 0
flynt's: Topic: 306, Keyword number: 1
erin: Topic: 306, Keyword number: 2
alan: Topic: 306, Keyword number: 3
cole: Topic: 306, Keyword number: 4
front: Topic: 306, Keyword number: 5
brick_top: Topic: 306, Keyword number: 6
london: Topic: 306, Keyword number: 7
first_amendment: Topic: 306, Keyword number: 8
erin's: Topic: 306, Keyword number: 9
behaviour: Topic: 306, Keyword number: 10
invisible: Topic: 306, Keyword number: 11
window: Topic: 306, Keyword number: 12
demanding: Topic: 306, Keyword number: 13
rich: Topic: 306, Keyword number: 14
told_linear: Topic: 306, Keyword number: 15
harrelson's: Topic: 306, Keyword number: 16
mickey's: Topic: 306, Keyword number: 17
alan_ford: Topic: 306, Keyword number: 18
turkish: Topic: 306, Keyword number: 19
boston_aquarium: Topic: 306, Keyword number: 20
alan_erin: Topic: 306, Keyword number: 21
billion: Topic: 306, Keyword number: 22
movie_tries: Topic: 306, Keyword number: 23
man's_wife: Topic: 306, Keyword number: 24
price: Topic: 307, Keyword number: 0
hill: Topic: 307, Keyword number: 1
haunted_hill: Topic: 307, Keyword number: 2
house_haunted: Topic: 307, Keyword number: 3
haunted: Topic: 307, Keyword number: 4
rooms: Topic: 307, Keyword number: 5
survive_night: Topic: 307, Keyword number: 6
taye_diggs: Topic: 307, Keyword number: 7
taye: Topic: 307, Keyword number: 8
steven_price: Topic: 307, Keyword number: 9
carter: Topic: 307, Keyword number: 10
remake: Topic: 307, Keyword number: 11
fantastic: Topic: 307, Keyword number: 12
try_survive: Topic: 307, Keyword number: 13
mental_patients: Topic: 307, Keyword number: 14
peter_ghallager: Topic: 307, Keyword number: 15
ghallager: Topic: 307, Keyword number: 16
brigette_wilson: Topic: 307, Keyword number: 17
vincent_price: Topic: 307, Keyword number: 18
party_friends: Topic: 307, Keyword number: 19
nanni: Topic: 307, Keyword number: 20
chris_kattan: Topic: 307, Keyword number: 21
kattan: Topic: 307, Keyword number: 22
throwing_party: Topic: 307, Keyword number: 23
geoffrey: Topic: 307, Keyword number: 24
know_won't: Topic: 308, Keyword number: 0
separating_henstridge: Topic: 308, Keyword number: 1
ridiculed_performance: Topic: 308, Keyword number: 2
down-to-earth_feel: Topic: 308, Keyword number: 3
mykelti: Topic: 308, Keyword number: 4
cage_however: Topic: 308, Keyword number: 5
henstridge_limited: Topic: 308, Keyword number: 6
annoying_distracting: Topic: 308, Keyword number: 7
casting_over-the-top: Topic: 308, Keyword number: 8
head_blown: Topic: 308, Keyword number: 9
would_turn: Topic: 308, Keyword number: 10
dreamed_seeing: Topic: 308, Keyword number: 11
mars_something: Topic: 308, Keyword number: 12
poles_piece: Topic: 308, Keyword number: 13
urges_either: Topic: 308, Keyword number: 14
mate_many: Topic: 308, Keyword number: 15
seven_minutes: Topic: 308, Keyword number: 16
loose_heated: Topic: 308, Keyword number: 17
gets_loose: Topic: 308, Keyword number: 18
red_soil: Topic: 308, Keyword number: 19
able_sustain: Topic: 308, Keyword number: 20
destroyed_perfect: Topic: 308, Keyword number: 21
first_ever: Topic: 308, Keyword number: 22
excursion_landing: Topic: 308, Keyword number: 23
species_series: Topic: 308, Keyword number: 24
cauldron: Topic: 309, Keyword number: 0
black: Topic: 309, Keyword number: 1
black_cauldron: Topic: 309, Keyword number: 2
disney: Topic: 309, Keyword number: 3
horned: Topic: 309, Keyword number: 4
hen: Topic: 309, Keyword number: 5
features: Topic: 309, Keyword number: 6
hen_wen: Topic: 309, Keyword number: 7
fflewdurr: Topic: 309, Keyword number: 8
king: Topic: 309, Keyword number: 9
wen: Topic: 309, Keyword number: 10
though: Topic: 309, Keyword number: 11
castle: Topic: 309, Keyword number: 12
disney's: Topic: 309, Keyword number: 13
eilonwy: Topic: 309, Keyword number: 14
animation: Topic: 309, Keyword number: 15
animated: Topic: 309, Keyword number: 16
sword: Topic: 309, Keyword number: 17
pig: Topic: 309, Keyword number: 18
saw: Topic: 309, Keyword number: 19
taran_eilonwy: Topic: 309, Keyword number: 20
deathless: Topic: 309, Keyword number: 21
animated_features: Topic: 309, Keyword number: 22
army: Topic: 309, Keyword number: 23
likeable: Topic: 309, Keyword number: 24
felix: Topic: 310, Keyword number: 0
journey: Topic: 310, Keyword number: 1
felix's: Topic: 310, Keyword number: 2
meets: Topic: 310, Keyword number: 3
adventures_felix: Topic: 310, Keyword number: 4
titled: Topic: 310, Keyword number: 5
father: Topic: 310, Keyword number: 6
hughes: Topic: 310, Keyword number: 7
lemmon: Topic: 310, Keyword number: 8
final_destination: Topic: 310, Keyword number: 9
marseilles: Topic: 310, Keyword number: 10
bouajila: Topic: 310, Keyword number: 11
baby's_day: Topic: 310, Keyword number: 12
chapter: Topic: 310, Keyword number: 13
lewis: Topic: 310, Keyword number: 14
trains: Topic: 310, Keyword number: 15
baby's: Topic: 310, Keyword number: 16
young_man: Topic: 310, Keyword number: 17
murder: Topic: 310, Keyword number: 18
away: Topic: 310, Keyword number: 19
little_notes: Topic: 310, Keyword number: 20
unger: Topic: 310, Keyword number: 21
ariane_ascaride: Topic: 310, Keyword number: 22
ascaride: Topic: 310, Keyword number: 23
ariane: Topic: 310, Keyword number: 24
warriors: Topic: 311, Keyword number: 0
wars: Topic: 311, Keyword number: 1
doo: Topic: 311, Keyword number: 2
pod_race: Topic: 311, Keyword number: 3
gangs: Topic: 311, Keyword number: 4
far_away: Topic: 311, Keyword number: 5
gathering: Topic: 311, Keyword number: 6
john_williams: Topic: 311, Keyword number: 7
riffs: Topic: 311, Keyword number: 8
relate: Topic: 311, Keyword number: 9
neeson_obi-wan: Topic: 311, Keyword number: 10
darth: Topic: 311, Keyword number: 11
comic_relief: Topic: 311, Keyword number: 12
coming: Topic: 311, Keyword number: 13
michael_beck: Topic: 311, Keyword number: 14
swann: Topic: 311, Keyword number: 15
david_patrick: Topic: 311, Keyword number: 16
psychopathic: Topic: 311, Keyword number: 17
cyrus: Topic: 311, Keyword number: 18
youth_gangs: Topic: 311, Keyword number: 19
coney: Topic: 311, Keyword number: 20
ancient_persia: Topic: 311, Keyword number: 21
lucas's: Topic: 311, Keyword number: 22
dated: Topic: 311, Keyword number: 23
truce: Topic: 311, Keyword number: 24
nello: Topic: 312, Keyword number: 0
dog_flanders: Topic: 312, Keyword number: 1
aloise: Topic: 312, Keyword number: 2
patrasche: Topic: 312, Keyword number: 3
grandfather: Topic: 312, Keyword number: 4
century: Topic: 312, Keyword number: 5
aloise's: Topic: 312, Keyword number: 6
nello's: Topic: 312, Keyword number: 7
heartwarming: Topic: 312, Keyword number: 8
voight: Topic: 312, Keyword number: 9
kissner: Topic: 312, Keyword number: 10
flanders_delightful: Topic: 312, Keyword number: 11
nello_patrasche: Topic: 312, Keyword number: 12
miller_william: Topic: 312, Keyword number: 13
kindly_miller: Topic: 312, Keyword number: 14
see_aloise: Topic: 312, Keyword number: 15
mysterious_yet: Topic: 312, Keyword number: 16
cottage: Topic: 312, Keyword number: 17
happiness_life: Topic: 312, Keyword number: 18
jack_warden: Topic: 312, Keyword number: 19
warden: Topic: 312, Keyword number: 20
jehan: Topic: 312, Keyword number: 21
family_movie: Topic: 312, Keyword number: 22
circus: Topic: 312, Keyword number: 23
little_family: Topic: 312, Keyword number: 24
chicken: Topic: 313, Keyword number: 0
chickens: Topic: 313, Keyword number: 1
park: Topic: 313, Keyword number: 2
funnest: Topic: 313, Keyword number: 3
i've: Topic: 313, Keyword number: 4
parodies: Topic: 313, Keyword number: 5
i've_seen: Topic: 313, Keyword number: 6
pies: Topic: 313, Keyword number: 7
lord: Topic: 313, Keyword number: 8
sequence: Topic: 313, Keyword number: 9
got: Topic: 313, Keyword number: 10
gibson: Topic: 313, Keyword number: 11
rats: Topic: 313, Keyword number: 12
film_history: Topic: 313, Keyword number: 13
park_lord: Topic: 313, Keyword number: 14
great_escape: Topic: 313, Keyword number: 15
park's: Topic: 313, Keyword number: 16
wallace: Topic: 313, Keyword number: 17
close_shave: Topic: 313, Keyword number: 18
wrong_trousers: Topic: 313, Keyword number: 19
trousers: Topic: 313, Keyword number: 20
co-director: Topic: 313, Keyword number: 21
tweedy: Topic: 313, Keyword number: 22
rooster: Topic: 313, Keyword number: 23
brash: Topic: 313, Keyword number: 24
life: Topic: 314, Keyword number: 0
whale: Topic: 314, Keyword number: 1
man: Topic: 314, Keyword number: 2
young: Topic: 314, Keyword number: 3
novel: Topic: 314, Keyword number: 4
message: Topic: 314, Keyword number: 5
truly: Topic: 314, Keyword number: 6
much: Topic: 314, Keyword number: 7
performance: Topic: 314, Keyword number: 8
director: Topic: 314, Keyword number: 9
vivian: Topic: 314, Keyword number: 10
monsters: Topic: 314, Keyword number: 11
plays: Topic: 314, Keyword number: 12
whale's: Topic: 314, Keyword number: 13
pretty_woman: Topic: 314, Keyword number: 14
dora: Topic: 314, Keyword number: 15
asks: Topic: 314, Keyword number: 16
romantic: Topic: 314, Keyword number: 17
rather: Topic: 314, Keyword number: 18
people: Topic: 314, Keyword number: 19
became: Topic: 314, Keyword number: 20
played: Topic: 314, Keyword number: 21
beautiful: Topic: 314, Keyword number: 22
every: Topic: 314, Keyword number: 23
behind: Topic: 314, Keyword number: 24
arthur's: Topic: 315, Keyword number: 0
lancelot_lake: Topic: 315, Keyword number: 1
arthur: Topic: 315, Keyword number: 2
camelot: Topic: 315, Keyword number: 3
arthurian: Topic: 315, Keyword number: 4
round_table: Topic: 315, Keyword number: 5
bresson's: Topic: 315, Keyword number: 6
round: Topic: 315, Keyword number: 7
downfall: Topic: 315, Keyword number: 8
sir: Topic: 315, Keyword number: 9
natural_sounds: Topic: 315, Keyword number: 10
patrick_bernhard: Topic: 315, Keyword number: 11
battle_within: Topic: 315, Keyword number: 12
knights_round: Topic: 315, Keyword number: 13
arthur_weiss: Topic: 315, Keyword number: 14
wang's_film: Topic: 315, Keyword number: 15
legends: Topic: 315, Keyword number: 16
uncompromising: Topic: 315, Keyword number: 17
truly_personal: Topic: 315, Keyword number: 18
cinema_truly: Topic: 315, Keyword number: 19
lake_something: Topic: 315, Keyword number: 20
turns_lancelot: Topic: 315, Keyword number: 21
making_turns: Topic: 315, Keyword number: 22
re-evaluating_arthurian: Topic: 315, Keyword number: 23
artist_re-evaluating: Topic: 315, Keyword number: 24
favreau: Topic: 316, Keyword number: 0
vaughn: Topic: 316, Keyword number: 1
trent: Topic: 316, Keyword number: 2
swingers: Topic: 316, Keyword number: 3
mike_trent: Topic: 316, Keyword number: 4
yakking: Topic: 316, Keyword number: 5
favreau_vaughn: Topic: 316, Keyword number: 6
favreau_also: Topic: 316, Keyword number: 7
made_movie: Topic: 316, Keyword number: 8
spoil_funny: Topic: 316, Keyword number: 9
small_flaws: Topic: 316, Keyword number: 10
also_type: Topic: 316, Keyword number: 11
films_long: Topic: 316, Keyword number: 12
actually_wanted: Topic: 316, Keyword number: 13
firstly_running: Topic: 316, Keyword number: 14
audience_swingers: Topic: 316, Keyword number: 15
impact_audience: Topic: 316, Keyword number: 16
mike_finally: Topic: 316, Keyword number: 17
funny_graham: Topic: 316, Keyword number: 18
sorry_funny: Topic: 316, Keyword number: 19
said_vaughn: Topic: 316, Keyword number: 20
seem_wander: Topic: 316, Keyword number: 21
learn_bit: Topic: 316, Keyword number: 22
nice_learn: Topic: 316, Keyword number: 23
trents_film: Topic: 316, Keyword number: 24
war: Topic: 317, Keyword number: 0
spielberg: Topic: 317, Keyword number: 1
men: Topic: 317, Keyword number: 2
ryan: Topic: 317, Keyword number: 3
battle: Topic: 317, Keyword number: 4
mission: Topic: 317, Keyword number: 5
kate: Topic: 317, Keyword number: 6
saving_private: Topic: 317, Keyword number: 7
private_ryan: Topic: 317, Keyword number: 8
private: Topic: 317, Keyword number: 9
saving: Topic: 317, Keyword number: 10
reality: Topic: 317, Keyword number: 11
schindler's_list: Topic: 317, Keyword number: 12
schindler's: Topic: 317, Keyword number: 13
became: Topic: 317, Keyword number: 14
hollow: Topic: 317, Keyword number: 15
sense: Topic: 317, Keyword number: 16
nothing: Topic: 317, Keyword number: 17
actors: Topic: 317, Keyword number: 18
steve: Topic: 317, Keyword number: 19
indy: Topic: 317, Keyword number: 20
list: Topic: 317, Keyword number: 21
spielberg's: Topic: 317, Keyword number: 22
world_war: Topic: 317, Keyword number: 23
captain: Topic: 317, Keyword number: 24
kathy_bates: Topic: 318, Keyword number: 0
car_she's: Topic: 318, Keyword number: 1
performances_bates: Topic: 318, Keyword number: 2
film_paralleling: Topic: 318, Keyword number: 3
accent_fill: Topic: 318, Keyword number: 4
reviews_check: Topic: 318, Keyword number: 5
film_reviews: Topic: 318, Keyword number: 6
stuff_regularly-updated: Topic: 318, Keyword number: 7
regularly-updated: Topic: 318, Keyword number: 8
nightmarish_little: Topic: 318, Keyword number: 9
particular_contribute: Topic: 318, Keyword number: 10
misery_tight: Topic: 318, Keyword number: 11
climax_easily: Topic: 318, Keyword number: 12
it's_terrifically: Topic: 318, Keyword number: 13
won't_die: Topic: 318, Keyword number: 14
smashed_wall: Topic: 318, Keyword number: 15
over-the-top_fight: Topic: 318, Keyword number: 16
crazy_psycho: Topic: 318, Keyword number: 17
builds_nicely: Topic: 318, Keyword number: 18
thinking_nasty: Topic: 318, Keyword number: 19
placed_strategically: Topic: 318, Keyword number: 20
cue_block: Topic: 318, Keyword number: 21
annie_realises: Topic: 318, Keyword number: 22
hobbling_annie: Topic: 318, Keyword number: 23
sequence_aforementioned: Topic: 318, Keyword number: 24
ronin: Topic: 319, Keyword number: 0
better_movie: Topic: 319, Keyword number: 1
frankenheimer: Topic: 319, Keyword number: 2
acclaimed_glengarry: Topic: 319, Keyword number: 3
douchebag: Topic: 319, Keyword number: 4
deal_daughter: Topic: 319, Keyword number: 5
nomination_core: Topic: 319, Keyword number: 6
matter_speedy: Topic: 319, Keyword number: 7
steps_boy's: Topic: 319, Keyword number: 8
girl_begin: Topic: 319, Keyword number: 9
wahlberg_thespian-at-large: Topic: 319, Keyword number: 10
neurologist: Topic: 319, Keyword number: 11
rubin_written: Topic: 319, Keyword number: 12
fortunate_son: Topic: 319, Keyword number: 13
kind_children's: Topic: 319, Keyword number: 14
appreciated_dark: Topic: 319, Keyword number: 15
film_longer: Topic: 319, Keyword number: 16
complexity_involved: Topic: 319, Keyword number: 17
almost_unseen: Topic: 319, Keyword number: 18
phenomenal--observe: Topic: 319, Keyword number: 19
tumbleweed-like: Topic: 319, Keyword number: 20
eternal_rulers: Topic: 319, Keyword number: 21
away_must: Topic: 319, Keyword number: 22
green_world: Topic: 319, Keyword number: 23
input_jim: Topic: 319, Keyword number: 24
mulan: Topic: 320, Keyword number: 0
disney: Topic: 320, Keyword number: 1
army: Topic: 320, Keyword number: 2
mulan's: Topic: 320, Keyword number: 3
spice: Topic: 320, Keyword number: 4
mushu: Topic: 320, Keyword number: 5
china: Topic: 320, Keyword number: 6
disney's: Topic: 320, Keyword number: 7
doubtfire: Topic: 320, Keyword number: 8
animated: Topic: 320, Keyword number: 9
dragon: Topic: 320, Keyword number: 10
spice_girls: Topic: 320, Keyword number: 11
chinese: Topic: 320, Keyword number: 12
huns: Topic: 320, Keyword number: 13
father: Topic: 320, Keyword number: 14
serve: Topic: 320, Keyword number: 15
eddie: Topic: 320, Keyword number: 16
eddie_murphy: Topic: 320, Keyword number: 17
father's: Topic: 320, Keyword number: 18
wen: Topic: 320, Keyword number: 19
songs: Topic: 320, Keyword number: 20
ancient: Topic: 320, Keyword number: 21
murphy: Topic: 320, Keyword number: 22
voices: Topic: 320, Keyword number: 23
one_man: Topic: 320, Keyword number: 24
film: Topic: 321, Keyword number: 0
one: Topic: 321, Keyword number: 1
like: Topic: 321, Keyword number: 2
get: Topic: 321, Keyword number: 3
never: Topic: 321, Keyword number: 4
two: Topic: 321, Keyword number: 5
films: Topic: 321, Keyword number: 6
however: Topic: 321, Keyword number: 7
it's: Topic: 321, Keyword number: 8
he's: Topic: 321, Keyword number: 9
time: Topic: 321, Keyword number: 10
new: Topic: 321, Keyword number: 11
family: Topic: 321, Keyword number: 12
characters: Topic: 321, Keyword number: 13
people: Topic: 321, Keyword number: 14
cast: Topic: 321, Keyword number: 15
though: Topic: 321, Keyword number: 16
good: Topic: 321, Keyword number: 17
man: Topic: 321, Keyword number: 18
back: Topic: 321, Keyword number: 19
really: Topic: 321, Keyword number: 20
story: Topic: 321, Keyword number: 21
things: Topic: 321, Keyword number: 22
great: Topic: 321, Keyword number: 23
make: Topic: 321, Keyword number: 24
dance: Topic: 322, Keyword number: 0
big: Topic: 322, Keyword number: 1
girls: Topic: 322, Keyword number: 2
shall_dance: Topic: 322, Keyword number: 3
dude: Topic: 322, Keyword number: 4
minutes: Topic: 322, Keyword number: 5
big_lebowski: Topic: 322, Keyword number: 6
buscemi: Topic: 322, Keyword number: 7
never_quite: Topic: 322, Keyword number: 8
fargo: Topic: 322, Keyword number: 9
snatch: Topic: 322, Keyword number: 10
bridges: Topic: 322, Keyword number: 11
number: Topic: 322, Keyword number: 12
named: Topic: 322, Keyword number: 13
spice_world: Topic: 322, Keyword number: 14
coens: Topic: 322, Keyword number: 15
robots: Topic: 322, Keyword number: 16
steve_buscemi: Topic: 322, Keyword number: 17
charming: Topic: 322, Keyword number: 18
window: Topic: 322, Keyword number: 19
experience: Topic: 322, Keyword number: 20
look: Topic: 322, Keyword number: 21
moore: Topic: 322, Keyword number: 22
labyrinth: Topic: 322, Keyword number: 23
hudsucker: Topic: 322, Keyword number: 24
film: Topic: 323, Keyword number: 0
really: Topic: 323, Keyword number: 1
could: Topic: 323, Keyword number: 2
doesn't: Topic: 323, Keyword number: 3
story: Topic: 323, Keyword number: 4
like: Topic: 323, Keyword number: 5
character: Topic: 323, Keyword number: 6
still: Topic: 323, Keyword number: 7
characters: Topic: 323, Keyword number: 8
scenes: Topic: 323, Keyword number: 9
side: Topic: 323, Keyword number: 10
work: Topic: 323, Keyword number: 11
done: Topic: 323, Keyword number: 12
works: Topic: 323, Keyword number: 13
know: Topic: 323, Keyword number: 14
good: Topic: 323, Keyword number: 15
seems: Topic: 323, Keyword number: 16
back: Topic: 323, Keyword number: 17
evil: Topic: 323, Keyword number: 18
things: Topic: 323, Keyword number: 19
attention: Topic: 323, Keyword number: 20
plays: Topic: 323, Keyword number: 21
love: Topic: 323, Keyword number: 22
completely: Topic: 323, Keyword number: 23
picture: Topic: 323, Keyword number: 24
lester: Topic: 324, Keyword number: 0
ricky: Topic: 324, Keyword number: 1
food: Topic: 324, Keyword number: 2
tampopo: Topic: 324, Keyword number: 3
goro: Topic: 324, Keyword number: 4
burnham: Topic: 324, Keyword number: 5
thora_birch: Topic: 324, Keyword number: 6
birch: Topic: 324, Keyword number: 7
thora: Topic: 324, Keyword number: 8
fitts: Topic: 324, Keyword number: 9
kevin_spacey: Topic: 324, Keyword number: 10
next_door: Topic: 324, Keyword number: 11
carolyn: Topic: 324, Keyword number: 12
growing: Topic: 324, Keyword number: 13
annette_bening: Topic: 324, Keyword number: 14
annette: Topic: 324, Keyword number: 15
noodle: Topic: 324, Keyword number: 16
ramen: Topic: 324, Keyword number: 17
wes_bentley: Topic: 324, Keyword number: 18
bentley: Topic: 324, Keyword number: 19
wes: Topic: 324, Keyword number: 20
bowl: Topic: 324, Keyword number: 21
wife: Topic: 324, Keyword number: 22
american_dream: Topic: 324, Keyword number: 23
meal: Topic: 324, Keyword number: 24
sweetback: Topic: 325, Keyword number: 0
sweet: Topic: 325, Keyword number: 1
van_peebles: Topic: 325, Keyword number: 2
peebles: Topic: 325, Keyword number: 3
sweet_sweetback: Topic: 325, Keyword number: 4
cops: Topic: 325, Keyword number: 5
sweet_sweetback's: Topic: 325, Keyword number: 6
sweetback's: Topic: 325, Keyword number: 7
let_die: Topic: 325, Keyword number: 8
african-american_perspective: Topic: 325, Keyword number: 9
panthers: Topic: 325, Keyword number: 10
sweetback_movies: Topic: 325, Keyword number: 11
sweetback's_baadasssss: Topic: 325, Keyword number: 12
baadasssss: Topic: 325, Keyword number: 13
melvin_van: Topic: 325, Keyword number: 14
all-white_jury: Topic: 325, Keyword number: 15
jury: Topic: 325, Keyword number: 16
rated_all-white: Topic: 325, Keyword number: 17
all-white: Topic: 325, Keyword number: 18
white_cops: Topic: 325, Keyword number: 19
baad_asssss: Topic: 325, Keyword number: 20
asssss: Topic: 325, Keyword number: 21
baad: Topic: 325, Keyword number: 22
hustler: Topic: 325, Keyword number: 23
agrees: Topic: 325, Keyword number: 24
movie: Topic: 326, Keyword number: 0
one: Topic: 326, Keyword number: 1
it's: Topic: 326, Keyword number: 2
family: Topic: 326, Keyword number: 3
could: Topic: 326, Keyword number: 4
little: Topic: 326, Keyword number: 5
would: Topic: 326, Keyword number: 6
